strategy,iteration,rank,q,slice,t_release_us
B0_FULL_SERIAL,0,3,16,0,260.767996311
B0_FULL_SERIAL,0,3,16,1,264.703989029
B0_FULL_SERIAL,0,3,16,2,268.608003855
B0_FULL_SERIAL,0,3,16,3,272.543996572
B0_FULL_SERIAL,0,3,16,4,276.448011398
B0_FULL_SERIAL,0,3,16,5,280.351996422
B0_FULL_SERIAL,0,3,16,6,284.28798914
B0_FULL_SERIAL,0,3,16,7,288.192003965
B0_FULL_SERIAL,0,3,16,8,292.127996683
B0_FULL_SERIAL,0,3,16,9,296.063989401
B0_FULL_SERIAL,0,3,16,10,300.000011921
B0_FULL_SERIAL,0,3,16,11,303.936004639
B0_FULL_SERIAL,0,3,16,12,307.839989662
B0_FULL_SERIAL,0,3,16,13,311.744004488
B0_FULL_SERIAL,0,3,16,14,315.679997206
B0_FULL_SERIAL,0,3,16,15,319.584012032
B0_FULL_SERIAL,1,3,16,0,2028.35202217
B0_FULL_SERIAL,1,3,16,1,2032.28807449
B0_FULL_SERIAL,1,3,16,2,2036.2238884
B0_FULL_SERIAL,1,3,16,3,2040.12799263
B0_FULL_SERIAL,1,3,16,4,2044.06404495
B0_FULL_SERIAL,1,3,16,5,2047.96791077
B0_FULL_SERIAL,1,3,16,6,2051.90396309
B0_FULL_SERIAL,1,3,16,7,2055.84001541
B0_FULL_SERIAL,1,3,16,8,2059.71193314
B0_FULL_SERIAL,1,3,16,9,2063.74406815
B0_FULL_SERIAL,1,3,16,10,2067.67988205
B0_FULL_SERIAL,1,3,16,11,2071.61593437
B0_FULL_SERIAL,1,3,16,12,2075.5200386
B0_FULL_SERIAL,1,3,16,13,2079.45609093
B0_FULL_SERIAL,1,3,16,14,2083.39190483
B0_FULL_SERIAL,1,3,16,15,2087.29600906
B0_FULL_SERIAL,2,3,16,0,2761.7919445
B0_FULL_SERIAL,2,3,16,1,2765.69604874
B0_FULL_SERIAL,2,3,16,2,2769.66404915
B0_FULL_SERIAL,2,3,16,3,2773.56791496
B0_FULL_SERIAL,2,3,16,4,2777.44007111
B0_FULL_SERIAL,2,3,16,5,2781.34393692
B0_FULL_SERIAL,2,3,16,6,2785.24804115
B0_FULL_SERIAL,2,3,16,7,2789.15190697
B0_FULL_SERIAL,2,3,16,8,2793.08795929
B0_FULL_SERIAL,2,3,16,9,2797.0559597
B0_FULL_SERIAL,2,3,16,10,2800.92811584
B0_FULL_SERIAL,2,3,16,11,2804.80003357
B0_FULL_SERIAL,2,3,16,12,2808.73608589
B0_FULL_SERIAL,2,3,16,13,2812.6718998
B0_FULL_SERIAL,2,3,16,14,2816.63990021
B0_FULL_SERIAL,2,3,16,15,2820.54400444
B0_FULL_SERIAL,3,3,16,0,3117.3760891
B0_FULL_SERIAL,3,3,16,1,3121.27995491
B0_FULL_SERIAL,3,3,16,2,3125.3759861
B0_FULL_SERIAL,3,3,16,3,3129.24790382
B0_FULL_SERIAL,3,3,16,4,3133.21590424
B0_FULL_SERIAL,3,3,16,5,3137.12000847
B0_FULL_SERIAL,3,3,16,6,3141.05606079
B0_FULL_SERIAL,3,3,16,7,3144.95992661
B0_FULL_SERIAL,3,3,16,8,3148.89597893
B0_FULL_SERIAL,3,3,16,9,3152.76789665
