run_id,stage,candidate,shape_id,category,local_rows,K,N,q,window,repetition,exit_code,case_dir,timestamp_utc
stage1_A_DEFAULT_S1_m4096k512n512_q8w0_rep4,A,DEFAULT,S1,comm_heavy,4096,512,512,8,0,4,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S1_m4096k512n512_q8w0_rep4,2026-09-03T01:54:42Z
stage1_A_DEFAULT_S1_m4096k512n512_q8w0_rep5,A,DEFAULT,S1,comm_heavy,4096,512,512,8,0,5,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S1_m4096k512n512_q8w0_rep5,2026-09-03T01:54:54Z
stage1_A_DEFAULT_S1_m4096k512n512_q16w0_rep1,A,DEFAULT,S1,comm_heavy,4096,512,512,16,0,1,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S1_m4096k512n512_q16w0_rep1,2026-09-03T01:55:05Z
stage1_A_DEFAULT_S1_m4096k512n512_q16w0_rep2,A,DEFAULT,S1,comm_heavy,4096,512,512,16,0,2,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S1_m4096k512n512_q16w0_rep2,2026-09-03T01:55:17Z
stage1_A_DEFAULT_S1_m4096k512n512_q16w0_rep3,A,DEFAULT,S1,comm_heavy,4096,512,512,16,0,3,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S1_m4096k512n512_q16w0_rep3,2026-09-03T01:55:29Z
stage1_A_DEFAULT_S1_m4096k512n512_q16w0_rep4,A,DEFAULT,S1,comm_heavy,4096,512,512,16,0,4,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S1_m4096k512n512_q16w0_rep4,2026-09-03T01:55:41Z
stage1_A_DEFAULT_S1_m4096k512n512_q16w0_rep5,A,DEFAULT,S1,comm_heavy,4096,512,512,16,0,5,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S1_m4096k512n512_q16w0_rep5,2026-09-03T01:55:54Z
stage1_A_DEFAULT_S2_m2048k1024n2048_q1w0_rep1,A,DEFAULT,S2,comm_heavy,2048,1024,2048,1,0,1,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S2_m2048k1024n2048_q1w0_rep1,2026-09-03T01:56:14Z
stage1_A_DEFAULT_S2_m2048k1024n2048_q1w0_rep2,A,DEFAULT,S2,comm_heavy,2048,1024,2048,1,0,2,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S2_m2048k1024n2048_q1w0_rep2,2026-09-03T01:56:34Z
stage1_A_DEFAULT_S2_m2048k1024n2048_q1w0_rep3,A,DEFAULT,S2,comm_heavy,2048,1024,2048,1,0,3,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S2_m2048k1024n2048_q1w0_rep3,2026-09-03T01:56:54Z
stage1_A_DEFAULT_S2_m2048k1024n2048_q1w0_rep4,A,DEFAULT,S2,comm_heavy,2048,1024,2048,1,0,4,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S2_m2048k1024n2048_q1w0_rep4,2026-09-03T01:57:14Z
stage1_A_DEFAULT_S2_m2048k1024n2048_q1w0_rep5,A,DEFAULT,S2,comm_heavy,2048,1024,2048,1,0,5,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S2_m2048k1024n2048_q1w0_rep5,2026-09-03T01:57:34Z
stage1_A_DEFAULT_S2_m2048k1024n2048_q2w0_rep1,A,DEFAULT,S2,comm_heavy,2048,1024,2048,2,0,1,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S2_m2048k1024n2048_q2w0_rep1,2026-09-03T01:57:53Z
stage1_A_DEFAULT_S2_m2048k1024n2048_q2w0_rep2,A,DEFAULT,S2,comm_heavy,2048,1024,2048,2,0,2,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S2_m2048k1024n2048_q2w0_rep2,2026-09-03T01:58:13Z
stage1_A_DEFAULT_S2_m2048k1024n2048_q2w0_rep3,A,DEFAULT,S2,comm_heavy,2048,1024,2048,2,0,3,0,/root/second_nvidia/ag-gemm-bench/results/stage1_20260903T015055Z/stage1_A_DEFAULT_S2_m2048k1024n2048_q2w0_rep3,2026-09-03T01:58:32Z
