stage,candidate,shape_id,category,local_rows,K,N,q,window,repetition,strategy,status,correctness,M_global,slice_bytes,release_first_mean_us,release_last_mean_us,done_mean_us,gemm_first_mean_us,gemm_last_mean_us,e2e_mean_us,e2e_p50_us,e2e_p95_us,run_id
A,DEFAULT,S1,comm_heavy,4096,512,512,2,0,2,B0_FULL_SERIAL,PASS,1,16384,16777216,740.936957002,740.936957002,748.840321898,752.76736021,1342.61695385,1346.57663703,1297.79195786,1988.57605457,stage1_A_DEFAULT_S1_m4096k512n512_q2w0_rep2
A,DEFAULT,S1,comm_heavy,4096,512,512,2,0,2,B1_SLICE_SERIAL,PASS,1,16384,16777216,371.489919126,898.309761286,902.271361351,375.836162269,1252.64768124,1256.60928249,1246.14405632,1410.04800797,stage1_A_DEFAULT_S1_m4096k512n512_q2w0_rep2
A,DEFAULT,S1,comm_heavy,4096,512,512,2,0,2,B2_SLICE_EVENT_OVERLAP,PASS,1,16384,16777216,363.234560788,533.340156078,537.310721278,368.497921526,1141.13408089,1145.08991718,1107.00798035,1306.97596073,stage1_A_DEFAULT_S1_m4096k512n512_q2w0_rep2
A,DEFAULT,S1,comm_heavy,4096,512,512,2,0,3,B0_FULL_SERIAL,PASS,1,16384,16777216,935.684478879,935.684478879,943.569275737,947.509118319,1537.48095751,1541.44128442,1485.24796963,2420.60804367,stage1_A_DEFAULT_S1_m4096k512n512_q2w0_rep3
A,DEFAULT,S1,comm_heavy,4096,512,512,2,0,3,B1_SLICE_SERIAL,PASS,1,16384,16777216,810.26303947,1329.05985117,1333.02271962,814.59199816,1683.27872038,1687.2383976,1677.79195309,1866.33598804,stage1_A_DEFAULT_S1_m4096k512n512_q2w0_rep3
A,DEFAULT,S1,comm_heavy,4096,512,512,2,0,3,B2_SLICE_EVENT_OVERLAP,PASS,1,16384,16777216,819.995517433,990.427522659,994.384642839,825.257599652,1596.99072838,1600.95872402,1571.9679594,1976.44805908,stage1_A_DEFAULT_S1_m4096k512n512_q2w0_rep3
A,DEFAULT,S1,comm_heavy,4096,512,512,2,0,4,B0_FULL_SERIAL,PASS,1,16384,16777216,984.364804626,984.364804626,992.277756333,996.204800606,1585.42590737,1589.36960578,1545.27997971,1893.44000816,stage1_A_DEFAULT_S1_m4096k512n512_q2w0_rep4
A,DEFAULT,S1,comm_heavy,4096,512,512,2,0,4,B1_SLICE_SERIAL,PASS,1,16384,16777216,843.047681749,1363.15583944,1367.09184527,847.40159601,1717.20896006,1721.15967751,1735.80801487,1839.64800835,stage1_A_DEFAULT_S1_m4096k512n512_q2w0_rep4
A,DEFAULT,S1,comm_heavy,4096,512,512,2,0,4,B2_SLICE_EVENT_OVERLAP,PASS,1,16384,16777216,864.020482302,1031.13728583,1035.10720491,869.150082171,1641.45471096,1645.40096045,1626.04796886,1807.6479435,stage1_A_DEFAULT_S1_m4096k512n512_q2w0_rep4
A,DEFAULT,S1,comm_heavy,4096,512,512,2,0,5,B0_FULL_SERIAL,PASS,1,16384,16777216,791.42848134,791.42848134,799.32415843,803.25248301,1393.00672531,1396.95871949,1441.0879612,1615.58401585,stage1_A_DEFAULT_S1_m4096k512n512_q2w0_rep5
A,DEFAULT,S1,comm_heavy,4096,512,512,2,0,5,B1_SLICE_SERIAL,PASS,1,16384,16777216,797.095038593,1314.68928337,1318.65600228,801.446403265,1668.73664618,1672.68479824,1651.39198303,1879.00805473,stage1_A_DEFAULT_S1_m4096k512n512_q2w0_rep5
A,DEFAULT,S1,comm_heavy,4096,512,512,2,0,5,B2_SLICE_EVENT_OVERLAP,PASS,1,16384,16777216,772.223997116,940.385923982,944.353922606,777.372799218,1549.14303541,1553.09695601,1549.66402054,1686.11204624,stage1_A_DEFAULT_S1_m4096k512n512_q2w0_rep5
A,DEFAULT,S1,comm_heavy,4096,512,512,4,0,1,B0_FULL_SERIAL,PASS,1,16384,8388608,942.958083749,942.958083749,958.544636369,962.437762618,1542.01343894,1545.921278,1589.95199203,1829.63204384,stage1_A_DEFAULT_S1_m4096k512n512_q4w0_rep1
A,DEFAULT,S1,comm_heavy,4096,512,512,4,0,1,B1_SLICE_SERIAL,PASS,1,16384,8388608,851.130881906,1783.01183701,1786.95104122,855.502724648,1975.20448685,1979.17310953,2015.84005356,2103.07192802,stage1_A_DEFAULT_S1_m4096k512n512_q4w0_rep1
A,DEFAULT,S1,comm_heavy,4096,512,512,4,0,1,B2_SLICE_EVENT_OVERLAP,PASS,1,16384,8388608,806.405119002,1299.60959554,1303.54367495,812.104323208,1654.43648338,1658.38720322,1731.80794716,1799.55196381,stage1_A_DEFAULT_S1_m4096k512n512_q4w0_rep1
A,DEFAULT,S1,comm_heavy,4096,512,512,4,0,2,B0_FULL_SERIAL,PASS,1,16384,8388608,507.86431849,507.86431849,523.575040102,527.495678067,1117.33823657,1121.27615452,1069.44000721,1492.09594727,stage1_A_DEFAULT_S1_m4096k512n512_q4w0_rep2
A,DEFAULT,S1,comm_heavy,4096,512,512,4,0,2,B1_SLICE_SERIAL,PASS,1,16384,8388608,393.095678687,1325.73375463,1329.66975451,397.455999255,1517.92192459,1521.86944723,1455.52003384,1742.97595024,stage1_A_DEFAULT_S1_m4096k512n512_q4w0_rep2
A,DEFAULT,S1,comm_heavy,4096,512,512,4,0,2,B2_SLICE_EVENT_OVERLAP,PASS,1,16384,8388608,311.465598345,815.616004467,819.68768239,317.281918824,1171.69407606,1175.65247297,1191.48802757,1322.97599316,stage1_A_DEFAULT_S1_m4096k512n512_q4w0_rep2
A,DEFAULT,S1,comm_heavy,4096,512,512,4,0,3,B0_FULL_SERIAL,PASS,1,16384,8388608,932.064005733,932.064005733,947.848322392,951.770244241,1540.95936298,1544.89728451,1584.03205872,1891.36004448,stage1_A_DEFAULT_S1_m4096k512n512_q4w0_rep3
A,DEFAULT,S1,comm_heavy,4096,512,512,4,0,3,B1_SLICE_SERIAL,PASS,1,16384,8388608,759.163517952,1691.1372757,1695.07136822,763.491842449,1883.43424082,1887.38880157,1982.72001743,2051.58400536,stage1_A_DEFAULT_S1_m4096k512n512_q4w0_rep3
A,DEFAULT,S1,comm_heavy,4096,512,512,4,0,3,B2_SLICE_EVENT_OVERLAP,PASS,1,16384,8388608,365.070720911,872.663680315,876.606719494,370.789121091,1226.08256817,1230.02303839,1194.04804707,1433.37595463,stage1_A_DEFAULT_S1_m4096k512n512_q4w0_rep3
A,DEFAULT,S1,comm_heavy,4096,512,512,4,0,4,B0_FULL_SERIAL,PASS,1,16384,8388608,823.285120726,823.285120726,838.668799996,842.512001395,1403.89568329,1407.76896238,1443.16804409,1613.95204067,stage1_A_DEFAULT_S1_m4096k512n512_q4w0_rep4
A,DEFAULT,S1,comm_heavy,4096,512,512,4,0,4,B1_SLICE_SERIAL,PASS,1,16384,8388608,755.604480505,1679.23775673,1683.17822218,759.964156151,1871.05727911,1875.02144098,1874.75204468,1975.61597824,stage1_A_DEFAULT_S1_m4096k512n512_q4w0_rep4
A,DEFAULT,S1,comm_heavy,4096,512,512,4,0,4,B2_SLICE_EVENT_OVERLAP,PASS,1,16384,8388608,803.804155588,1295.65184355,1299.6326375,809.512958825,1650.16383648,1654.12159204,1612.03205585,1916.28801823,stage1_A_DEFAULT_S1_m4096k512n512_q4w0_rep4
A,DEFAULT,S1,comm_heavy,4096,512,512,4,0,5,B0_FULL_SERIAL,PASS,1,16384,8388608,717.411839366,717.411839366,732.976639867,736.860803962,1313.90911937,1317.80801058,1406.08000755,1756.38401508,stage1_A_DEFAULT_S1_m4096k512n512_q4w0_rep5
A,DEFAULT,S1,comm_heavy,4096,512,512,4,0,5,B1_SLICE_SERIAL,PASS,1,16384,8388608,323.490560353,1258.05696011,1262.00254679,327.867520452,1450.20287752,1454.17150736,1446.01595402,1655.77602386,stage1_A_DEFAULT_S1_m4096k512n512_q4w0_rep5
A,DEFAULT,S1,comm_heavy,4096,512,512,4,0,5,B2_SLICE_EVENT_OVERLAP,PASS,1,16384,8388608,358.5523206,844.645760059,848.627842665,364.442240298,1208.78783703,1212.7756691,1174.88002777,1414.62397575,stage1_A_DEFAULT_S1_m4096k512n512_q4w0_rep5
A,DEFAULT,S1,comm_heavy,4096,512,512,8,0,1,B0_FULL_SERIAL,PASS,1,16384,4194304,902.5004673,902.5004673,933.479037285,937.367038131,1501.69919729,1505.55647612,1341.4080143,3148.06389809,stage1_A_DEFAULT_S1_m4096k512n512_q8w0_rep1
A,DEFAULT,S1,comm_heavy,4096,512,512,8,0,1,B1_SLICE_SERIAL,PASS,1,16384,4194304,574.959359467,2010.91584206,2014.86335278,579.306240976,2122.63231039,2126.58239603,2051.13601685,2713.82403374,stage1_A_DEFAULT_S1_m4096k512n512_q8w0_rep1
A,DEFAULT,S1,comm_heavy,4096,512,512,8,0,1,B2_SLICE_EVENT_OVERLAP,PASS,1,16384,4194304,387.385601103,1272.43711233,1276.41280413,393.40416044,1440.6060791,1444.55423832,1440.73605537,1663.07199001,stage1_A_DEFAULT_S1_m4096k512n512_q8w0_rep1
A,DEFAULT,S1,comm_heavy,4096,512,512,8,0,2,B0_FULL_SERIAL,PASS,1,16384,4194304,668.110722899,668.110722899,699.591678977,703.541122675,1303.64095688,1309.18016076,1261.40797138,2047.67990112,stage1_A_DEFAULT_S1_m4096k512n512_q8w0_rep2
A,DEFAULT,S1,comm_heavy,4096,512,512,8,0,2,B1_SLICE_SERIAL,PASS,1,16384,4194304,535.7011199,1966.78719997,1970.75391054,540.097919405,2078.84416103,2082.82945871,2078.91201973,2288.32006454,stage1_A_DEFAULT_S1_m4096k512n512_q8w0_rep2
A,DEFAULT,S1,comm_heavy,4096,512,512,8,0,2,B2_SLICE_EVENT_OVERLAP,PASS,1,16384,4194304,519.733757377,1403.68127584,1407.70303726,525.770240128,1574.86783266,1578.81920338,1553.12001705,1934.49604511,stage1_A_DEFAULT_S1_m4096k512n512_q8w0_rep2
A,DEFAULT,S1,comm_heavy,4096,512,512,8,0,3,B0_FULL_SERIAL,PASS,1,16384,4194304,441.55199945,441.55199945,472.51072228,476.433277726,1033.62239838,1037.44767427,984.192013741,1402.87995338,stage1_A_DEFAULT_S1_m4096k512n512_q8w0_rep3
