strategy,iteration,rank,q,slice,t_release_us
B0_FULL_SERIAL,0,2,16,0,1594.49601173
B0_FULL_SERIAL,0,2,16,1,1598.04797173
B0_FULL_SERIAL,0,2,16,2,1601.56798363
B0_FULL_SERIAL,0,2,16,3,1605.18395901
B0_FULL_SERIAL,0,2,16,4,1608.7679863
B0_FULL_SERIAL,0,2,16,5,1612.31994629
B0_FULL_SERIAL,0,2,16,6,1615.87202549
B0_FULL_SERIAL,0,2,16,7,1619.42398548
B0_FULL_SERIAL,0,2,16,8,1622.94399738
B0_FULL_SERIAL,0,2,16,9,1626.46400928
B0_FULL_SERIAL,0,2,16,10,1630.01596928
B0_FULL_SERIAL,0,2,16,11,1633.72802734
B0_FULL_SERIAL,0,2,16,12,1637.24803925
B0_FULL_SERIAL,0,2,16,13,1640.76805115
B0_FULL_SERIAL,0,2,16,14,1644.32001114
B0_FULL_SERIAL,0,2,16,15,1647.84002304
B0_FULL_SERIAL,1,2,16,0,1624.92799759
B0_FULL_SERIAL,1,2,16,1,1628.44800949
B0_FULL_SERIAL,1,2,16,2,1631.96802139
B0_FULL_SERIAL,1,2,16,3,1635.51998138
B0_FULL_SERIAL,1,2,16,4,1639.23203945
B0_FULL_SERIAL,1,2,16,5,1642.71998405
B0_FULL_SERIAL,1,2,16,6,1646.27194405
B0_FULL_SERIAL,1,2,16,7,1649.79195595
B0_FULL_SERIAL,1,2,16,8,1653.31196785
B0_FULL_SERIAL,1,2,16,9,1656.83197975
B0_FULL_SERIAL,1,2,16,10,1660.38405895
B0_FULL_SERIAL,1,2,16,11,1663.90395164
B0_FULL_SERIAL,1,2,16,12,1667.42396355
B0_FULL_SERIAL,1,2,16,13,1670.97604275
B0_FULL_SERIAL,1,2,16,14,1674.49605465
B0_FULL_SERIAL,1,2,16,15,1678.2399416
B0_FULL_SERIAL,2,2,16,0,1743.99995804
B0_FULL_SERIAL,2,2,16,1,1747.55203724
B0_FULL_SERIAL,2,2,16,2,1751.07204914
B0_FULL_SERIAL,2,2,16,3,1754.59194183
B0_FULL_SERIAL,2,2,16,4,1758.14402103
B0_FULL_SERIAL,2,2,16,5,1761.66403294
B0_FULL_SERIAL,2,2,16,6,1765.50400257
B0_FULL_SERIAL,2,2,16,7,1768.99194717
B0_FULL_SERIAL,2,2,16,8,1772.57597446
B0_FULL_SERIAL,2,2,16,9,1776.09598637
B0_FULL_SERIAL,2,2,16,10,1779.64794636
B0_FULL_SERIAL,2,2,16,11,1783.16795826
B0_FULL_SERIAL,2,2,16,12,1787.07194328
B0_FULL_SERIAL,2,2,16,13,1790.59195518
B0_FULL_SERIAL,2,2,16,14,1794.11196709
B0_FULL_SERIAL,2,2,16,15,1797.63197899
B0_FULL_SERIAL,3,2,16,0,1609.85600948
B0_FULL_SERIAL,3,2,16,1,1613.44003677
B0_FULL_SERIAL,3,2,16,2,1617.02394485
B0_FULL_SERIAL,3,2,16,3,1620.54395676
B0_FULL_SERIAL,3,2,16,4,1624.09603596
B0_FULL_SERIAL,3,2,16,5,1627.64799595
B0_FULL_SERIAL,3,2,16,6,1631.16800785
B0_FULL_SERIAL,3,2,16,7,1635.07199287
B0_FULL_SERIAL,3,2,16,8,1638.62395287
B0_FULL_SERIAL,3,2,16,9,1642.40002632
B0_FULL_SERIAL,3,2,16,10,1645.92003822
B0_FULL_SERIAL,3,2,16,11,1649.44005013
B0_FULL_SERIAL,3,2,16,12,1652.99201012
B0_FULL_SERIAL,3,2,16,13,1656.76796436
B0_FULL_SERIAL,3,2,16,14,1660.32004356
B0_FULL_SERIAL,3,2,16,15,1663.80798817
B0_FULL_SERIAL,4,2,16,0,1616.63997173
B0_FULL_SERIAL,4,2,16,1,1620.19205093
B0_FULL_SERIAL,4,2,16,2,1623.71194363
B0_FULL_SERIAL,4,2,16,3,1627.42400169
B0_FULL_SERIAL,4,2,16,4,1630.97596169
