case_id,mode,rank,npes,epoch,slot,payload_bytes,issue_to_comm_stream_complete_us,issue_to_release_us,issue_to_checked_us,checksum_mismatches,iteration_status
A3_credit_slot4_1M,put_signal,2,4,66,1,1048576,64.928,76.128,109.568,0,PASS
A3_credit_slot4_1M,put_signal,2,4,67,2,1048576,85.568,96.704,127.680,0,PASS
A3_credit_slot4_1M,put_signal,2,4,68,3,1048576,59.200,70.400,102.208,0,PASS
A3_credit_slot4_1M,put_signal,2,4,69,0,1048576,74.432,85.664,116.096,0,PASS
A3_credit_slot4_1M,put_signal,2,4,70,1,1048576,74.368,85.760,116.960,0,PASS
A3_credit_slot4_1M,put_signal,2,4,71,2,1048576,83.424,95.520,126.784,0,PASS
A3_credit_slot4_1M,put_signal,2,4,72,3,1048576,72.224,83.584,114.944,0,PASS
A3_credit_slot4_1M,put_signal,2,4,73,0,1048576,73.184,84.384,115.200,0,PASS
A3_credit_slot4_1M,put_signal,2,4,74,1,1048576,67.104,78.816,108.928,0,PASS
A3_credit_slot4_1M,put_signal,2,4,75,2,1048576,61.408,73.024,103.808,0,PASS
A3_credit_slot4_1M,put_signal,2,4,76,3,1048576,72.320,83.872,114.752,0,PASS
A3_credit_slot4_1M,put_signal,2,4,77,0,1048576,87.424,98.752,129.728,0,PASS
A3_credit_slot4_1M,put_signal,2,4,78,1,1048576,80.448,92.224,122.752,0,PASS
A3_credit_slot4_1M,put_signal,2,4,79,2,1048576,60.384,71.552,102.400,0,PASS
A3_credit_slot4_1M,put_signal,2,4,80,3,1048576,63.008,74.240,104.480,0,PASS
A3_credit_slot4_1M,put_signal,2,4,81,0,1048576,66.080,77.248,108.256,0,PASS
A3_credit_slot4_1M,put_signal,2,4,82,1,1048576,72.704,83.904,119.008,0,PASS
A3_credit_slot4_1M,put_signal,2,4,83,2,1048576,58.912,70.112,100.800,0,PASS
A3_credit_slot4_1M,put_signal,2,4,84,3,1048576,60.224,71.488,102.912,0,PASS
A3_credit_slot4_1M,put_signal,2,4,85,0,1048576,72.000,83.200,114.112,0,PASS
