strategy,iteration,rank,q,slice,t_release_us
B0_FULL_SERIAL,0,1,8,0,851.935982704
B0_FULL_SERIAL,0,1,8,1,855.455994606
B0_FULL_SERIAL,0,1,8,2,858.943998814
B0_FULL_SERIAL,0,1,8,3,862.464010715
B0_FULL_SERIAL,0,1,8,4,865.984022617
B0_FULL_SERIAL,0,1,8,5,869.503974915
B0_FULL_SERIAL,0,1,8,6,873.279988766
B0_FULL_SERIAL,0,1,8,7,876.800000668
B0_FULL_SERIAL,1,1,8,0,865.696012974
B0_FULL_SERIAL,1,1,8,1,869.216024876
B0_FULL_SERIAL,1,1,8,2,872.735977173
B0_FULL_SERIAL,1,1,8,3,876.255989075
B0_FULL_SERIAL,1,1,8,4,879.776000977
B0_FULL_SERIAL,1,1,8,5,883.296012878
B0_FULL_SERIAL,1,1,8,6,886.81602478
B0_FULL_SERIAL,1,1,8,7,890.335977077
B0_FULL_SERIAL,2,1,8,0,911.584019661
B0_FULL_SERIAL,2,1,8,1,915.103971958
B0_FULL_SERIAL,2,1,8,2,918.62398386
B0_FULL_SERIAL,2,1,8,3,922.143995762
B0_FULL_SERIAL,2,1,8,4,925.664007664
B0_FULL_SERIAL,2,1,8,5,929.184019566
B0_FULL_SERIAL,2,1,8,6,932.703971863
B0_FULL_SERIAL,2,1,8,7,936.223983765
B0_FULL_SERIAL,3,1,8,0,985.759973526
B0_FULL_SERIAL,3,1,8,1,989.279985428
B0_FULL_SERIAL,3,1,8,2,992.79999733
B0_FULL_SERIAL,3,1,8,3,996.640026569
B0_FULL_SERIAL,3,1,8,4,1000.12803078
B0_FULL_SERIAL,3,1,8,5,1003.67999077
B0_FULL_SERIAL,3,1,8,6,1007.23195076
B0_FULL_SERIAL,3,1,8,7,1010.72001457
B0_FULL_SERIAL,4,1,8,0,927.999973297
B0_FULL_SERIAL,4,1,8,1,931.519985199
B0_FULL_SERIAL,4,1,8,2,935.039997101
B0_FULL_SERIAL,4,1,8,3,938.560009003
B0_FULL_SERIAL,4,1,8,4,942.367970943
B0_FULL_SERIAL,4,1,8,5,945.91999054
B0_FULL_SERIAL,4,1,8,6,949.440002441
B0_FULL_SERIAL,4,1,8,7,952.960014343
B0_FULL_SERIAL,5,1,8,0,1025.27999878
B0_FULL_SERIAL,5,1,8,1,1029.24799919
B0_FULL_SERIAL,5,1,8,2,1033.2159996
B0_FULL_SERIAL,5,1,8,3,1037.18400002
B0_FULL_SERIAL,5,1,8,4,1041.12005234
B0_FULL_SERIAL,5,1,8,5,1045.02403736
B0_FULL_SERIAL,5,1,8,6,1048.95997047
B0_FULL_SERIAL,5,1,8,7,1052.8639555
B0_FULL_SERIAL,6,1,8,0,1116.16003513
B0_FULL_SERIAL,6,1,8,1,1120.15998363
B0_FULL_SERIAL,6,1,8,2,1124.12798405
B0_FULL_SERIAL,6,1,8,3,1128.06403637
B0_FULL_SERIAL,6,1,8,4,1132.06398487
B0_FULL_SERIAL,6,1,8,5,1136.00003719
B0_FULL_SERIAL,6,1,8,6,1139.93597031
B0_FULL_SERIAL,6,1,8,7,1143.93603802
B0_FULL_SERIAL,7,1,8,0,939.711987972
B0_FULL_SERIAL,7,1,8,1,943.64798069
B0_FULL_SERIAL,7,1,8,2,947.552025318
B0_FULL_SERIAL,7,1,8,3,951.488018036
B0_FULL_SERIAL,7,1,8,4,955.392003059
B0_FULL_SERIAL,7,1,8,5,959.295988083
B0_FULL_SERIAL,7,1,8,6,963.199973106
B0_FULL_SERIAL,7,1,8,7,967.104017735
B0_FULL_SERIAL,8,1,8,0,905.53599596
B0_FULL_SERIAL,8,1,8,1,909.471988678
B0_FULL_SERIAL,8,1,8,2,913.375973701
B0_FULL_SERIAL,8,1,8,3,917.312026024
B0_FULL_SERIAL,8,1,8,4,921.184003353
B0_FULL_SERIAL,8,1,8,5,925.119996071
B0_FULL_SERIAL,8,1,8,6,929.023981094
B0_FULL_SERIAL,8,1,8,7,932.959973812
