strategy,iteration,rank,q,slice,t_release_us
B0_FULL_SERIAL,12,0,8,6,920.448005199
B0_FULL_SERIAL,12,0,8,7,924.383997917
B0_FULL_SERIAL,13,0,8,0,884.032011032
B0_FULL_SERIAL,13,0,8,1,887.96800375
B0_FULL_SERIAL,13,0,8,2,891.871988773
B0_FULL_SERIAL,13,0,8,3,895.807981491
B0_FULL_SERIAL,13,0,8,4,899.712026119
B0_FULL_SERIAL,13,0,8,5,903.648018837
B0_FULL_SERIAL,13,0,8,6,907.55200386
B0_FULL_SERIAL,13,0,8,7,911.455988884
B0_FULL_SERIAL,14,0,8,0,929.055988789
B0_FULL_SERIAL,14,0,8,1,932.959973812
B0_FULL_SERIAL,14,0,8,2,936.86401844
B0_FULL_SERIAL,14,0,8,3,940.768003464
B0_FULL_SERIAL,14,0,8,4,944.703996181
B0_FULL_SERIAL,14,0,8,5,948.607981205
B0_FULL_SERIAL,14,0,8,6,952.512025833
B0_FULL_SERIAL,14,0,8,7,956.416010857
B0_FULL_SERIAL,15,0,8,0,885.824024677
B0_FULL_SERIAL,15,0,8,1,889.952003956
B0_FULL_SERIAL,15,0,8,2,893.887996674
B0_FULL_SERIAL,15,0,8,3,897.791981697
B0_FULL_SERIAL,15,0,8,4,901.696026325
B0_FULL_SERIAL,15,0,8,5,905.600011349
B0_FULL_SERIAL,15,0,8,6,909.503996372
B0_FULL_SERIAL,15,0,8,7,913.407981396
B0_FULL_SERIAL,16,0,8,0,885.119974613
B0_FULL_SERIAL,16,0,8,1,889.056026936
B0_FULL_SERIAL,16,0,8,2,893.343985081
B0_FULL_SERIAL,16,0,8,3,897.279977798
B0_FULL_SERIAL,16,0,8,4,901.215970516
B0_FULL_SERIAL,16,0,8,5,905.120015144
B0_FULL_SERIAL,16,0,8,6,909.056007862
B0_FULL_SERIAL,16,0,8,7,912.959992886
B0_FULL_SERIAL,17,0,8,0,888.831973076
B0_FULL_SERIAL,17,0,8,1,892.736017704
B0_FULL_SERIAL,17,0,8,2,896.640002728
B0_FULL_SERIAL,17,0,8,3,900.575995445
B0_FULL_SERIAL,17,0,8,4,904.447972775
B0_FULL_SERIAL,17,0,8,5,908.352017403
B0_FULL_SERIAL,17,0,8,6,912.28801012
B0_FULL_SERIAL,17,0,8,7,916.191995144
B0_FULL_SERIAL,18,0,8,0,883.296012878
B0_FULL_SERIAL,18,0,8,1,887.232005596
B0_FULL_SERIAL,18,0,8,2,891.13599062
B0_FULL_SERIAL,18,0,8,3,895.071983337
B0_FULL_SERIAL,18,0,8,4,898.976027966
B0_FULL_SERIAL,18,0,8,5,902.880012989
B0_FULL_SERIAL,18,0,8,6,906.783998013
B0_FULL_SERIAL,18,0,8,7,910.655975342
B0_FULL_SERIAL,19,0,8,0,877.503991127
B0_FULL_SERIAL,19,0,8,1,881.407976151
B0_FULL_SERIAL,19,0,8,2,885.344028473
B0_FULL_SERIAL,19,0,8,3,889.280021191
B0_FULL_SERIAL,19,0,8,4,893.184006214
B0_FULL_SERIAL,19,0,8,5,897.119998932
B0_FULL_SERIAL,19,0,8,6,901.023983955
B0_FULL_SERIAL,19,0,8,7,904.928028584
B0_FULL_SERIAL,20,0,8,0,899.200022221
B0_FULL_SERIAL,20,0,8,1,903.104007244
B0_FULL_SERIAL,20,0,8,2,907.039999962
B0_FULL_SERIAL,20,0,8,3,910.880029202
B0_FULL_SERIAL,20,0,8,4,914.848029613
B0_FULL_SERIAL,20,0,8,5,918.687999249
B0_FULL_SERIAL,20,0,8,6,922.65599966
B0_FULL_SERIAL,20,0,8,7,926.4960289
B0_FULL_SERIAL,21,0,8,0,871.456027031
B0_FULL_SERIAL,21,0,8,1,875.392019749
B0_FULL_SERIAL,21,0,8,2,879.296004772
B0_FULL_SERIAL,21,0,8,3,883.199989796
B0_FULL_SERIAL,21,0,8,4,887.07202673
B0_FULL_SERIAL,21,0,8,5,891.008019447
B0_FULL_SERIAL,21,0,8,6,894.912004471
B0_FULL_SERIAL,21,0,8,7,898.815989494
B0_FULL_SERIAL,22,0,8,0,875.360012054
B0_FULL_SERIAL,22,0,8,1,879.263997078
B0_FULL_SERIAL,22,0,8,2,883.328020573
B0_FULL_SERIAL,22,0,8,3,887.232005596
B0_FULL_SERIAL,22,0,8,4,891.167998314
B0_FULL_SERIAL,22,0,8,5,895.071983337
B0_FULL_SERIAL,22,0,8,6,898.976027966
B0_FULL_SERIAL,22,0,8,7,902.880012989
B0_FULL_SERIAL,23,0,8,0,902.17602253
B0_FULL_SERIAL,23,0,8,1,906.080007553
B0_FULL_SERIAL,23,0,8,2,909.983992577
B0_FULL_SERIAL,23,0,8,3,913.8879776
B0_FULL_SERIAL,23,0,8,4,917.792022228
B0_FULL_SERIAL,23,0,8,5,921.696007252
B0_FULL_SERIAL,23,0,8,6,925.599992275
B0_FULL_SERIAL,23,0,8,7,929.535984993
B0_FULL_SERIAL,24,0,8,0,877.439975739
B0_FULL_SERIAL,24,0,8,1,881.344020367
B0_FULL_SERIAL,24,0,8,2,885.280013084
B0_FULL_SERIAL,24,0,8,3,889.151990414
B0_FULL_SERIAL,24,0,8,4,893.087983131
B0_FULL_SERIAL,24,0,8,5,896.99202776
B0_FULL_SERIAL,24,0,8,6,900.896012783
B0_FULL_SERIAL,24,0,8,7,904.799997807
B0_FULL_SERIAL,25,0,8,0,924.480021
B0_FULL_SERIAL,25,0,8,1,928.416013718
B0_FULL_SERIAL,25,0,8,2,932.416021824
B0_FULL_SERIAL,25,0,8,3,936.320006847
B0_FULL_SERIAL,25,0,8,4,940.255999565
B0_FULL_SERIAL,25,0,8,5,944.159984589
B0_FULL_SERIAL,25,0,8,6,948.064029217
B0_FULL_SERIAL,25,0,8,7,952.000021935
B0_FULL_SERIAL,26,0,8,0,920.671999454
B0_FULL_SERIAL,26,0,8,1,924.960017204
B0_FULL_SERIAL,26,0,8,2,928.896009922
B0_FULL_SERIAL,26,0,8,3,932.799994946
B0_FULL_SERIAL,26,0,8,4,936.735987663
B0_FULL_SERIAL,26,0,8,5,940.671980381
B0_FULL_SERIAL,26,0,8,6,944.607973099
B0_FULL_SERIAL,26,0,8,7,948.512017727
B0_FULL_SERIAL,27,0,8,0,878.49599123
B0_FULL_SERIAL,27,0,8,1,882.399976254
B0_FULL_SERIAL,27,0,8,2,886.336028576
B0_FULL_SERIAL,27,0,8,3,890.240013599
B0_FULL_SERIAL,27,0,8,4,894.176006317
B0_FULL_SERIAL,27,0,8,5,898.079991341
B0_FULL_SERIAL,27,0,8,6,901.983976364
B0_FULL_SERIAL,27,0,8,7,905.920028687
B0_FULL_SERIAL,28,0,8,0,877.439975739
B0_FULL_SERIAL,28,0,8,1,881.568014622
B0_FULL_SERIAL,28,0,8,2,885.471999645
B0_FULL_SERIAL,28,0,8,3,889.375984669
B0_FULL_SERIAL,28,0,8,4,893.280029297
B0_FULL_SERIAL,28,0,8,5,897.18401432
B0_FULL_SERIAL,28,0,8,6,901.087999344
B0_FULL_SERIAL,28,0,8,7,905.023992062
B0_FULL_SERIAL,29,0,8,0,881.183981895
B0_FULL_SERIAL,29,0,8,1,885.119974613
B0_FULL_SERIAL,29,0,8,2,889.024019241
B0_FULL_SERIAL,29,0,8,3,892.928004265
B0_FULL_SERIAL,29,0,8,4,896.863996983
B0_FULL_SERIAL,29,0,8,5,900.7999897
B0_FULL_SERIAL,29,0,8,6,904.703974724
B0_FULL_SERIAL,29,0,8,7,908.608019352
B0_FULL_SERIAL,30,0,8,0,907.999992371
B0_FULL_SERIAL,30,0,8,1,911.903977394
B0_FULL_SERIAL,30,0,8,2,915.808022022
B0_FULL_SERIAL,30,0,8,3,919.712007046
B0_FULL_SERIAL,30,0,8,4,923.647999763
B0_FULL_SERIAL,30,0,8,5,927.583992481
B0_FULL_SERIAL,30,0,8,6,931.487977505
B0_FULL_SERIAL,30,0,8,7,935.392022133
B0_FULL_SERIAL,31,0,8,0,889.087975025
B0_FULL_SERIAL,31,0,8,1,892.992019653
B0_FULL_SERIAL,31,0,8,2,896.928012371
B0_FULL_SERIAL,31,0,8,3,900.831997395
B0_FULL_SERIAL,31,0,8,4,904.735982418
B0_FULL_SERIAL,31,0,8,5,908.608019352
B0_FULL_SERIAL,31,0,8,6,912.54401207
B0_FULL_SERIAL,31,0,8,7,916.480004787
B0_FULL_SERIAL,32,0,8,0,886.39998436
B0_FULL_SERIAL,32,0,8,1,890.304028988
B0_FULL_SERIAL,32,0,8,2,894.208014011
B0_FULL_SERIAL,32,0,8,3,898.111999035
B0_FULL_SERIAL,32,0,8,4,902.047991753
B0_FULL_SERIAL,32,0,8,5,905.951976776
B0_FULL_SERIAL,32,0,8,6,909.856021404
B0_FULL_SERIAL,32,0,8,7,913.792014122
B0_FULL_SERIAL,33,0,8,0,891.903996468
B0_FULL_SERIAL,33,0,8,1,895.87199688
B0_FULL_SERIAL,33,0,8,2,899.775981903
B0_FULL_SERIAL,33,0,8,3,903.680026531
B0_FULL_SERIAL,33,0,8,4,907.616019249
B0_FULL_SERIAL,33,0,8,5,911.520004272
B0_FULL_SERIAL,33,0,8,6,915.45599699
B0_FULL_SERIAL,33,0,8,7,919.359982014
B0_FULL_SERIAL,34,0,8,0,921.663999557
B0_FULL_SERIAL,34,0,8,1,925.599992275
B0_FULL_SERIAL,34,0,8,2,929.503977299
B0_FULL_SERIAL,34,0,8,3,933.440029621
B0_FULL_SERIAL,34,0,8,4,937.344014645
B0_FULL_SERIAL,34,0,8,5,941.247999668
B0_FULL_SERIAL,34,0,8,6,945.151984692
B0_FULL_SERIAL,34,0,8,7,949.087977409
B0_FULL_SERIAL,35,0,8,0,877.279996872
B0_FULL_SERIAL,35,0,8,1,881.183981895
B0_FULL_SERIAL,35,0,8,2,885.088026524
B0_FULL_SERIAL,35,0,8,3,888.992011547
B0_FULL_SERIAL,35,0,8,4,892.928004265
B0_FULL_SERIAL,35,0,8,5,896.831989288
B0_FULL_SERIAL,35,0,8,6,900.735974312
B0_FULL_SERIAL,35,0,8,7,904.64001894
B0_FULL_SERIAL,36,0,8,0,882.399976254
B0_FULL_SERIAL,36,0,8,1,886.336028576
B0_FULL_SERIAL,36,0,8,2,890.240013599
B0_FULL_SERIAL,36,0,8,3,894.143998623
B0_FULL_SERIAL,36,0,8,4,898.079991341
B0_FULL_SERIAL,36,0,8,5,902.015984058
B0_FULL_SERIAL,36,0,8,6,905.856013298
B0_FULL_SERIAL,36,0,8,7,909.792006016
B0_FULL_SERIAL,37,0,8,0,886.111974716
B0_FULL_SERIAL,37,0,8,1,890.048027039
B0_FULL_SERIAL,37,0,8,2,893.984019756
B0_FULL_SERIAL,37,0,8,3,897.88800478
B0_FULL_SERIAL,37,0,8,4,901.823997498
B0_FULL_SERIAL,37,0,8,5,905.759990215
B0_FULL_SERIAL,37,0,8,6,909.663975239
B0_FULL_SERIAL,37,0,8,7,913.568019867
B0_FULL_SERIAL,38,0,8,0,889.760017395
B0_FULL_SERIAL,38,0,8,1,893.696010113
B0_FULL_SERIAL,38,0,8,2,897.599995136
B0_FULL_SERIAL,38,0,8,3,901.50398016
B0_FULL_SERIAL,38,0,8,4,905.408024788
B0_FULL_SERIAL,38,0,8,5,909.312009811
B0_FULL_SERIAL,38,0,8,6,913.215994835
B0_FULL_SERIAL,38,0,8,7,917.151987553
B0_FULL_SERIAL,39,0,8,0,887.232005596
B0_FULL_SERIAL,39,0,8,1,891.13599062
B0_FULL_SERIAL,39,0,8,2,895.071983337
B0_FULL_SERIAL,39,0,8,3,898.976027966
B0_FULL_SERIAL,39,0,8,4,902.912020683
B0_FULL_SERIAL,39,0,8,5,906.816005707
B0_FULL_SERIAL,39,0,8,6,910.71999073
B0_FULL_SERIAL,39,0,8,7,914.655983448
B0_FULL_SERIAL,40,0,8,0,885.407984257
B0_FULL_SERIAL,40,0,8,1,889.312028885
B0_FULL_SERIAL,40,0,8,2,893.216013908
B0_FULL_SERIAL,40,0,8,3,897.152006626
B0_FULL_SERIAL,40,0,8,4,901.05599165
B0_FULL_SERIAL,40,0,8,5,904.959976673
B0_FULL_SERIAL,40,0,8,6,908.896028996
B0_FULL_SERIAL,40,0,8,7,912.800014019
B0_FULL_SERIAL,41,0,8,0,883.552014828
B0_FULL_SERIAL,41,0,8,1,887.488007545
B0_FULL_SERIAL,41,0,8,2,891.391992569
B0_FULL_SERIAL,41,0,8,3,895.327985287
B0_FULL_SERIAL,41,0,8,4,899.263978004
B0_FULL_SERIAL,41,0,8,5,903.168022633
B0_FULL_SERIAL,41,0,8,6,907.072007656
B0_FULL_SERIAL,41,0,8,7,910.97599268
B0_FULL_SERIAL,42,0,8,0,882.048010826
B0_FULL_SERIAL,42,0,8,1,885.95199585
B0_FULL_SERIAL,42,0,8,2,889.855980873
B0_FULL_SERIAL,42,0,8,3,893.760025501
B0_FULL_SERIAL,42,0,8,4,897.664010525
B0_FULL_SERIAL,42,0,8,5,901.600003242
B0_FULL_SERIAL,42,0,8,6,905.503988266
B0_FULL_SERIAL,42,0,8,7,909.407973289
B0_FULL_SERIAL,43,0,8,0,885.312020779
B0_FULL_SERIAL,43,0,8,1,889.248013496
B0_FULL_SERIAL,43,0,8,2,893.15199852
B0_FULL_SERIAL,43,0,8,3,897.087991238
B0_FULL_SERIAL,43,0,8,4,900.991976261
B0_FULL_SERIAL,43,0,8,5,904.928028584
B0_FULL_SERIAL,43,0,8,6,908.832013607
B0_FULL_SERIAL,43,0,8,7,912.735998631
B0_FULL_SERIAL,44,0,8,0,878.719985485
B0_FULL_SERIAL,44,0,8,1,882.592022419
B0_FULL_SERIAL,44,0,8,2,886.496007442
B0_FULL_SERIAL,44,0,8,3,890.43200016
B0_FULL_SERIAL,44,0,8,4,894.335985184
B0_FULL_SERIAL,44,0,8,5,898.239970207
B0_FULL_SERIAL,44,0,8,6,902.144014835
B0_FULL_SERIAL,44,0,8,7,906.047999859
