candidate,N,q,path,family,reps,t_done_p50_us,e2e_p50_us,release_last_p50_us,e2e_p05_us,e2e_p95_us,release_gap_us,comm_compute_overlap_us,e2e_p50_stdev_us
C0_DEFAULT,2048,2,DC_PUSHSIG_ONLY,NVSHMEM,5,623.488,627.024,623.568,622.928,630.496,3.536,3.536,2.697
C0_DEFAULT,2048,2,DS_PUSHSIG_SERIAL,NVSHMEM,5,2662.416,4682.352,2663.552,4676.160,4687.408,2019.936,2019.936,3.949
C0_DEFAULT,2048,2,FC_FCOLLECT_ONLY,NVSHMEM,5,462.896,470.160,466.736,469.424,471.456,7.264,7.264,0.656
C0_DEFAULT,2048,2,GEMM_ONLY,NCCL,5,4055.312,4058.752,0.000,4058.096,4060.032,3.440,3.440,0.647
C0_DEFAULT,2048,2,R0_FULL_SERIAL,NCCL,5,466.368,4112.880,462.912,4111.456,4114.912,3646.512,3646.512,1.138
C0_DEFAULT,2048,2,R1_EVENT_OVERLAP,NCCL,5,520.016,4390.304,516.608,4388.384,4392.032,3870.288,3870.288,1.297
C0_DEFAULT,2048,2,RS_SLICE_SERIAL,NCCL,5,2532.288,4548.032,2528.912,4545.232,4551.696,2015.744,2015.744,2.293
C0_DEFAULT,2048,4,COMM_ONLY,NCCL,5,580.864,584.288,577.344,583.936,584.512,3.424,3.424,0.236
C0_DEFAULT,2048,4,D0_FCOLLECT_SERIAL,NVSHMEM,5,465.744,4112.240,462.256,4110.064,4114.896,3646.496,3646.496,1.756
C0_DEFAULT,2048,4,D1W_WAITSTREAM_OVERLAP,NVSHMEM,5,1228.512,4376.416,1229.376,4375.552,4381.536,3147.904,3147.904,2.269
C0_DEFAULT,2048,4,D1_PUSHSIG_OVERLAP,NVSHMEM,5,1347.904,4407.856,3377.376,4402.464,4409.456,3059.952,3059.952,2.482
C0_DEFAULT,2048,4,DC_PUSHSIG_ONLY,NVSHMEM,5,666.480,671.344,667.856,667.664,678.752,4.864,4.864,3.956
C0_DEFAULT,2048,4,DS_PUSHSIG_SERIAL,NVSHMEM,5,3768.352,4795.856,3768.912,4791.488,4806.064,1027.504,1027.504,4.941
C0_DEFAULT,2048,4,FC_FCOLLECT_ONLY,NVSHMEM,5,462.176,469.456,466.000,468.768,469.872,7.280,7.280,0.360
C0_DEFAULT,2048,4,GEMM_ONLY,NCCL,5,4089.200,4092.624,0.000,4091.920,4093.744,3.424,3.424,0.597
C0_DEFAULT,2048,4,R0_FULL_SERIAL,NCCL,5,466.400,4112.864,462.976,4111.792,4113.392,3646.464,3646.464,0.574
C0_DEFAULT,2048,4,R1_EVENT_OVERLAP,NCCL,5,1361.408,4262.208,1357.936,4260.448,4265.104,2900.800,2900.800,1.553
C0_DEFAULT,2048,4,RS_SLICE_SERIAL,NCCL,5,3678.704,4697.552,3675.296,4694.288,4699.536,1018.848,1018.848,1.868
C0_DEFAULT,2048,8,COMM_ONLY,NCCL,5,755.360,758.736,751.952,757.616,762.576,3.376,3.376,1.764
C0_DEFAULT,2048,8,D0_FCOLLECT_SERIAL,NVSHMEM,5,465.824,4111.424,462.400,4109.056,4112.848,3645.600,3645.600,1.309
C0_DEFAULT,2048,8,D1W_WAITSTREAM_OVERLAP,NVSHMEM,5,3456.032,4523.088,3481.664,4508.256,4537.328,1067.056,1067.056,10.143
C0_DEFAULT,2048,8,D1_PUSHSIG_OVERLAP,NVSHMEM,5,2853.984,4473.680,3954.304,4471.536,4479.760,1619.696,1619.696,2.839
C0_DEFAULT,2048,8,DC_PUSHSIG_ONLY,NVSHMEM,5,750.160,753.200,749.760,751.648,762.384,3.040,3.040,3.864
C0_DEFAULT,2048,8,DS_PUSHSIG_SERIAL,NVSHMEM,5,4450.208,4970.512,4451.056,4967.600,4973.136,520.304,520.304,1.965
C0_DEFAULT,2048,8,FC_FCOLLECT_ONLY,NVSHMEM,5,462.416,469.632,466.176,469.056,470.272,7.216,7.216,0.454
C0_DEFAULT,2048,8,GEMM_ONLY,NCCL,5,4052.752,4056.176,0.000,4055.888,4057.520,3.424,3.424,0.713
C0_DEFAULT,2048,8,R0_FULL_SERIAL,NCCL,5,466.576,4112.224,463.104,4108.336,4113.232,3645.648,3645.648,1.768
C0_DEFAULT,2048,8,R1_EVENT_OVERLAP,NCCL,5,3473.696,4452.848,3469.920,4451.968,4455.520,979.152,979.152,1.273
C0_DEFAULT,2048,8,RS_SLICE_SERIAL,NCCL,5,4412.784,4919.952,4409.360,4914.480,4923.648,507.168,507.168,2.986
C0_DEFAULT,2048,16,COMM_ONLY,NCCL,5,1181.920,1185.344,1178.480,1180.976,1190.048,3.424,3.424,3.138
C0_DEFAULT,2048,16,D1W_WAITSTREAM_OVERLAP,NVSHMEM,5,3653.344,4927.120,3667.040,4914.416,4931.872,1273.776,1273.776,6.147
C0_DEFAULT,2048,16,D1_PUSHSIG_OVERLAP,NVSHMEM,5,2584.304,4899.072,4618.368,4895.008,4904.144,2314.768,2314.768,3.722
C0_DEFAULT,2048,16,DC_PUSHSIG_ONLY,NVSHMEM,5,1020.176,1023.744,1020.208,1021.376,1031.536,3.568,3.568,4.427
C0_DEFAULT,2048,16,DS_PUSHSIG_SERIAL,NVSHMEM,5,5430.448,5710.736,5429.872,5705.200,5715.344,280.288,280.288,3.747
C0_DEFAULT,2048,16,GEMM_ONLY,NCCL,5,4249.184,4252.608,0.000,4251.440,4255.424,3.424,3.424,1.373
C0_DEFAULT,2048,16,R1_EVENT_OVERLAP,NCCL,5,4004.336,4908.448,4000.880,4903.712,4911.664,904.112,904.112,3.268
C0_DEFAULT,2048,16,RS_SLICE_SERIAL,NCCL,5,5471.536,5739.104,5468.096,5734.304,5743.968,267.568,267.568,3.080
C0_DEFAULT,4096,2,COMM_ONLY,NCCL,5,533.872,537.280,530.416,536.992,537.472,3.408,3.408,0.163
C0_DEFAULT,4096,2,D0_FCOLLECT_SERIAL,NVSHMEM,5,499.904,7855.792,496.448,7853.584,7857.344,7355.888,7355.888,1.251
C0_DEFAULT,4096,2,D1W_WAITSTREAM_OVERLAP,NVSHMEM,5,3945.296,8152.800,3946.976,8145.952,8161.536,4207.504,4207.504,5.608
C0_DEFAULT,4096,2,D1_PUSHSIG_OVERLAP,NVSHMEM,5,4014.240,7976.592,4202.128,7968.576,7987.488,3962.352,3962.352,6.224
C0_DEFAULT,4096,2,DC_PUSHSIG_ONLY,NVSHMEM,5,655.088,658.256,654.816,652.144,658.704,3.168,3.168,2.461
C0_DEFAULT,4096,2,DS_PUSHSIG_SERIAL,NVSHMEM,5,4421.520,8181.264,4421.168,8173.456,8184.240,3759.744,3759.744,3.955
C0_DEFAULT,4096,2,FC_FCOLLECT_ONLY,NVSHMEM,5,496.064,503.456,500.000,502.416,503.632,7.392,7.392,0.538
C0_DEFAULT,4096,2,GEMM_ONLY,NCCL,5,7579.808,7583.328,0.000,7582.544,7583.792,3.520,3.520,0.423
C0_DEFAULT,4096,2,R0_FULL_SERIAL,NCCL,5,500.272,7856.144,496.800,7854.688,7856.800,7355.872,7355.872,0.748
