run_id,timestamp_utc,host,gpu_model,rank_count,dtype,M,N,K,collective,q,slice_bytes,backend,strategy,transport_hint,warmup,iterations,status,correctness,max_abs_error,max_rel_error,release_first_mean_us,release_first_p50_us,release_first_p95_us,release_last_mean_us,done_mean_us,done_p50_us,done_p95_us,gemm_first_mean_us,gemm_last_mean_us,e2e_mean_us,e2e_p50_us,e2e_p95_us,log_path
preflight2gpu_q1,2026-09-02T08:43:33Z,cs-25097-447d4-server,NVIDIA GeForce RTX 4090,2,fp32,256,128,128,AllGather-GEMM,1,131072,NCCL,B0_FULL_SERIAL,UNSPECIFIED,3,5,PASS,1,0,0,51.167999953,51.1999987066,68.6080008745,51.167999953,52.6016004384,52.2239990532,70.6560015678,54.240000248,61.4079989493,63.2511988282,62.4639987946,79.8719972372,results/preflight2gpu_q1/rank{rank}.log
preflight2gpu_q1,2026-09-02T08:43:33Z,cs-25097-447d4-server,NVIDIA GeForce RTX 4090,2,fp32,256,128,128,AllGather-GEMM,1,131072,NCCL,B1_SLICE_SERIAL,UNSPECIFIED,3,5,PASS,1,0,0,49.5039999485,50.1759983599,50.9760007262,49.5039999485,51.1551991105,51.1999987066,53.0240014195,52.7807988226,62.8159992397,64.2495989799,64.5119994879,66.3359984756,results/preflight2gpu_q1/rank{rank}.log
preflight2gpu_q1,2026-09-02T08:43:33Z,cs-25097-447d4-server,NVIDIA GeForce RTX 4090,2,fp32,256,128,128,AllGather-GEMM,1,131072,NCCL,B2_SLICE_EVENT_OVERLAP,UNSPECIFIED,3,5,PASS,1,0,0,49.0495994687,49.9520003796,56.3200004399,49.0495994687,51.9168004394,52.0000010729,57.3440007865,51.71200037,61.9519986212,63.1807990372,64.2879977822,69.6320012212,results/preflight2gpu_q1/rank{rank}.log
