shape,q,window,rep,iteration,t_release_first_us,e2e_us,t_done_us
S7,8,0,2,45,6013.95177841,16654.3369293,15300.6076813
S7,8,0,2,46,2443.26400757,13172.7361679,11379.7121048
S7,8,0,2,47,3781.63194656,14432.2557449,12778.4957886
S7,8,0,2,48,7182.40022659,18383.8710785,16080.8963776
S7,8,0,2,49,6723.58417511,18023.4241486,15714.3039703
S7,8,0,3,0,887.808024883,12375.0400543,10027.0080566
S7,8,0,3,1,1236.99200153,12733.4403992,10381.3123703
S7,8,0,3,2,6468.57595444,17646.5606689,15289.3123627
S7,8,0,3,3,2234.36808586,13818.8800812,11602.9443741
S7,8,0,3,4,1103.87194157,12556.2877655,10206.2082291
S7,8,0,3,5,1110.01598835,12653.5682678,10290.1763916
S7,8,0,3,6,1144.83201504,12602.3683548,10411.0078812
S7,8,0,3,7,1574.91195202,12769.2804337,10407.9360962
S7,8,0,3,8,1353.72805595,12743.6800003,10390.5277252
S7,8,0,3,9,1853.44004631,13319.1680908,10982.3999405
S7,8,0,3,10,987.136006355,12423.04039,10393.6004639
S7,8,0,3,11,1201.15196705,12731.3919067,10464.2562866
S7,8,0,3,12,999.199986458,12552.1917343,10184.7038269
S7,8,0,3,13,2934.75198746,14377.951622,12016.6082382
S7,8,0,3,14,991.23197794,12413.8879776,10060.7995987
S7,8,0,3,15,1255.42402267,12504.0636063,10341.3763046
S7,8,0,3,16,848.896026611,11848.7043381,9715.71159363
S7,8,0,3,17,2657.27996826,13612.0319366,11543.5523987
S7,8,0,3,18,1664.00003433,12687.3598099,10510.3359222
S7,8,0,3,19,1522.62401581,12741.5676117,10372.0321655
S7,8,0,3,20,978.944003582,12725.2483368,10438.6558533
S7,8,0,3,21,885.760009289,12328.9604187,9961.47155762
S7,8,0,3,22,915.45599699,12267.5199509,10208.2557678
S7,8,0,3,23,2595.00789642,14027.7757645,11858.9439392
S7,8,0,3,24,1104.89594936,12720.1280594,10237.9522324
S7,8,0,3,25,1150.97594261,12379.1360855,10045.4397202
S7,8,0,3,26,1266.68798923,12663.807869,10466.3038254
S7,8,0,3,27,2403.32794189,13527.0395279,11163.6476517
S7,8,0,3,28,923.647999763,12354.5598984,10188.7998581
S7,8,0,3,29,1305.60004711,12716.0320282,10374.1436005
S7,8,0,3,30,1172.47998714,12299.2639542,10022.9120255
S7,8,0,3,31,1007.61604309,12583.9357376,10198.0161667
S7,8,0,3,32,1124.3519783,12351.4881134,10152.9598236
S7,8,0,3,33,2404.28805351,14174.1437912,11807.68013
S7,8,0,3,34,1515.51997662,12824.5763779,10458.111763
S7,8,0,3,35,1160.19201279,12733.4079742,10363.8715744
S7,8,0,3,36,1042.43195057,12293.1203842,10130.4321289
S7,8,0,3,37,2820.09601593,13725.69561,11674.6244431
S7,8,0,3,38,2197.50404358,13309.9517822,11021.3117599
S7,8,0,3,39,1638.39995861,12856.3203812,10480.6404114
S7,8,0,3,40,1927.16801167,13493.2479858,11202.5604248
S7,8,0,3,41,1087.48805523,12519.4244385,10177.5360107
S7,8,0,3,42,1250.30398369,12601.3441086,10291.1996841
S7,8,0,3,43,882.687985897,12370.9440231,10003.4561157
S7,8,0,3,44,1507.32803345,12868.6084747,10789.888382
S7,8,0,3,45,1119.23205853,12619.7757721,10462.2077942
S7,8,0,3,46,1276.927948,12648.4479904,10361.8564606
S7,8,0,3,47,1233.91997814,12711.935997,10339.3278122
S7,8,0,3,48,2239.48788643,14055.4237366,11665.4081345
S7,8,0,3,49,1139.71197605,12598.2723236,10399.7440338
S7,8,0,4,0,873.471975327,12154.87957,9970.68786621
S7,8,0,4,1,5643.26381683,16672.7676392,14410.7522964
S7,8,0,4,2,6188.03215027,17274.8794556,15068.1600571
S7,8,0,4,3,18195.4555511,28873.7277985,27598.8483429
S7,8,0,4,4,3880.95998764,14608.3841324,13102.0803452
S7,8,0,4,5,3734.52806473,14408.703804,12978.1761169
S7,8,0,4,6,4409.34419632,14965.760231,13308.927536
S7,8,0,4,7,5322.7519989,16473.0873108,14148.6082077
S7,8,0,4,8,6658.04815292,17500.1602173,15641.5996552
S7,8,0,4,9,7833.60004425,19211.2636566,16852.9911041
S7,8,0,4,10,2248.67200851,13557.7278137,11099.1039276
S7,8,0,4,11,8142.84801483,19243.0076599,16987.1368408
S7,8,0,4,12,6873.087883,18144.2565918,15797.2478867
S7,8,0,4,13,6688.76791,17953.792572,15629.3115616
S7,8,0,4,14,6347.77593613,17532.9284668,15177.7276993
S7,8,0,4,15,6948.86398315,18026.4968872,15670.2718735
S7,8,0,4,16,6593.53590012,17891.3288116,15589.3764496
S7,8,0,4,17,6863.87205124,17689.5999908,15796.2236404
S7,8,0,4,18,6949.88822937,18146.3031769,15787.0082855
S7,8,0,4,19,7043.07222366,17700.8647919,15955.9679031
S7,8,0,4,20,8079.36000824,19232.7671051,16893.951416
S7,8,0,4,21,6166.52822495,17272.8328705,15008.7680817
S7,8,0,4,22,5686.17582321,16736.1602783,14452.6395798
S7,8,0,4,23,6577.15177536,17185.792923,15418.3683395
S7,8,0,4,24,5868.54410172,16670.7191467,14843.9035416
S7,8,0,4,25,6850.56018829,17431.552887,15601.6635895
S7,8,0,4,26,4452.35204697,15031.2957764,13379.5843124
S7,8,0,4,27,6137.9199028,16783.3595276,15070.2075958
S7,8,0,4,28,7239.67981339,17860.6071472,16324.6078491
S7,8,0,4,29,3027.96792984,14110.7196808,11843.5840607
S7,8,0,4,30,6551.55181885,17108.9916229,15419.3916321
S7,8,0,4,31,4575.23202896,15342.5922394,13339.6482468
S7,8,0,4,32,6678.52783203,17934.3357086,15521.7924118
S7,8,0,4,33,4918.27201843,15633.4075928,13816.8315887
S7,8,0,4,34,6491.13607407,17654.7832489,15337.471962
S7,8,0,4,35,3929.08811569,14810.1119995,13159.4238281
S7,8,0,4,36,5306.36787415,16152.5764465,14326.7841339
S7,8,0,4,37,5859.32779312,16394.2394257,14931.9677353
S7,8,0,4,38,6510.5919838,17618.9441681,15353.8560867
S7,8,0,4,39,6260.73598862,16893.951416,15469.5682526
S7,8,0,4,40,4900.8641243,15426.5604019,13753.3435822
S7,8,0,4,41,2526.20792389,13532.1598053,11509.759903
S7,8,0,4,42,5983.23202133,16795.6485748,15026.1764526
S7,8,0,4,43,4568.0642128,15555.5839539,13691.904068
S7,8,0,4,44,7189.50414658,17927.1678925,16254.9762726
S7,8,0,4,45,4804.60786819,15359.9996567,13689.8555756
S7,8,0,4,46,4824.06377792,15664.1283035,13799.4241714
S7,8,0,4,47,4160.51197052,15234.0478897,13139.9679184
S7,8,0,4,48,4776.95989609,15562.75177,13805.5677414
S7,8,0,4,49,4698.11201096,15967.2317505,13780.9915543
S7,8,0,5,0,649.215996265,11843.4877396,9494.43244934
S7,8,0,5,1,1553.4080267,12703.7439346,10372.0960617
S7,8,0,5,2,1410.04800797,12845.0555801,10570.7521439
S7,8,0,5,3,2018.30410957,12935.1682663,11155.4555893
S7,8,0,5,4,1275.90405941,12461.8883133,10463.2320404
S7,8,0,5,5,1302.52802372,13127.6798248,10744.8320389
S7,8,0,5,6,1232.89597034,12931.0722351,10615.8075333
S7,8,0,5,7,2294.78406906,13229.0563583,11253.7603378
S7,8,0,5,8,2762.75205612,13964.2877579,11928.5764694
S7,8,0,5,9,1438.75205517,12510.2081299,10694.6563721
S7,8,0,5,10,2586.62390709,13828.0963898,11495.4242706
S7,8,0,5,11,1653.75995636,12577.7921677,10705.9202194
S7,8,0,5,12,2013.18407059,12954.624176,11179.0075302
S7,8,0,5,13,1334.27202702,12226.559639,10213.3760452
S7,8,0,5,14,2012.16006279,12969.7599411,11211.7757797
S7,8,0,5,15,1348.73604774,12556.2877655,10362.8797531
S7,8,0,5,16,1482.68795013,12400.5756378,10457.0236206
S7,8,0,5,17,871.424019337,12174.3364334,9990.14377594
S7,8,0,5,18,2054.14390564,13330.4319382,11285.5043411
S7,8,0,5,19,1355.77595234,12648.4479904,10724.3518829
S7,8,0,5,20,2425.85611343,13484.0316772,11284.4800949
S7,8,0,5,21,1790.94398022,12951.5199661,10594.2716599
S7,8,0,5,22,1472.51200676,12582.9124451,10606.5921783
S7,8,0,5,23,1203.16803455,12184.5436096,10390.496254
S7,8,0,5,24,1721.34399414,12628.9920807,10682.3682785
S7,8,0,5,25,2544.64006424,13792.2563553,11601.9201279
S7,8,0,5,26,2726.91202164,13645.8244324,12148.7360001
S7,8,0,5,27,2680.83190918,13597.6963043,11982.8481674
S7,8,0,5,28,2672.64008522,13606.9116592,12086.2722397
S7,8,0,5,29,3404.7999382,14376.9598007,12837.887764
S7,8,0,5,30,3027.96792984,13929.4719696,12014.5921707
S7,8,0,5,31,2812.92796135,14064.6400452,12061.6960526
S7,8,0,5,32,4233.21580887,15449.0880966,13392.8956985
S7,8,0,5,33,2761.72804832,13718.5277939,11834.3677521
S7,8,0,5,34,2676.73611641,13746.175766,11680.768013
S7,8,0,5,35,2696.19202614,13570.0483322,11638.7844086
S7,8,0,5,36,2631.68001175,13565.952301,11404.2882919
S7,8,0,5,37,2183.16793442,13148.1599808,11051.0082245
S7,8,0,5,38,2715.64793587,13696.0000992,11587.5835419
S7,8,0,5,39,2921.4720726,13834.2399597,12080.1277161
S7,8,0,5,40,2654.20794487,13597.6963043,11618.3042526
S7,8,0,5,41,865.248024464,12029.9196243,9679.84008789
S7,8,0,5,42,7242.7520752,18197.5040436,16094.2077637
S7,8,0,5,43,1412.09602356,12449.6641159,10689.5360947
S7,8,0,5,44,2285.56799889,13521.9202042,11256.8321228
S7,8,0,5,45,2189.24808502,13118.3996201,11337.6636505
S7,8,0,5,46,2302.97589302,13546.4963913,11556.8637848
S7,8,0,5,47,2353.15203667,13260.8003616,11416.5763855
S7,8,0,5,48,2302.97589302,13298.6879349,11517.9519653
S7,8,0,5,49,4435.96792221,15443.9678192,13281.2795639
S7,16,0,1,0,477.183997631,13239.2959595,11991.0402298
S7,16,0,1,1,4894.72007751,17437.6964569,16306.1752319
S7,16,0,1,2,7429.12006378,19582.9753876,18647.0394135
S7,16,0,1,3,5983.23202133,18182.144165,17001.4724731
S7,16,0,1,4,5719.9678421,18401.2794495,17239.9673462
S7,16,0,1,5,6522.88007736,19024.8966217,17788.9270782
S7,16,0,1,6,4669.43979263,17025.0244141,15994.8797226
S7,16,0,1,7,3729.40802574,15811.5844727,14922.7523804
S7,16,0,1,8,5945.34397125,18350.0804901,17294.336319
S7,16,0,1,9,6323.20022583,18356.2240601,17739.7766113
S7,16,0,1,10,5000.19216537,17189.8880005,16355.3276062
S7,16,0,1,11,6017.02404022,18528.2554626,17321.9833374
S7,16,0,1,12,4989.9520874,17449.9835968,16522.2396851
S7,16,0,1,13,5489.66407776,17900.5432129,16859.1365814
S7,16,0,1,14,4554.75187302,17143.8083649,15905.7922363
S7,16,0,1,15,4282.36818314,16511.9991302,15248.3844757
S7,16,0,1,16,5405.69591522,18058.2408905,16941.0552979
S7,16,0,1,17,4833.3439827,17063.9038086,16173.0232239
S7,16,0,1,18,4113.40808868,16346.1112976,15104.0000916
S7,16,0,1,19,6015.99979401,18254.8484802,17557.5046539
S7,16,0,1,20,4897.79186249,17103.8722992,15894.528389
S7,16,0,1,21,6849.53594208,18918.3998108,18061.3117218
S7,16,0,1,22,4767.74406433,17028.0952454,15762.4320984
S7,16,0,1,23,5333.98389816,17552.3529053,16316.3833618
S7,16,0,1,24,5045.24803162,17212.4156952,16158.7200165
S7,16,0,1,25,4653.98406982,16910.2401733,15659.9359512
S7,16,0,1,26,4207.61585236,16613.3766174,15532.0320129
S7,16,0,1,27,4669.43979263,16861.1831665,16176.1283875
S7,16,0,1,28,5467.13590622,17809.4081879,16689.1517639
S7,16,0,1,29,4303.87210846,16527.3609161,15438.8475418
S7,16,0,1,30,5663.74397278,18027.5192261,16954.3685913
S7,16,0,1,31,5171.1359024,17152.9598236,16186.3040924
S7,16,0,1,32,4225.02422333,16565.2484894,15464.4479752
S7,16,0,1,33,4164.60800171,16520.1911926,15418.3683395
S7,16,0,1,34,4833.28008652,17406.9766998,16160.7685089
S7,16,0,1,35,6031.36014938,18142.2080994,17371.1357117
S7,16,0,1,36,4301.82409286,16401.4072418,15504.3840408
S7,16,0,1,37,4631.55221939,16714.7521973,15742.9761887
S7,16,0,1,38,4576.25579834,17182.7201843,15971.3277817
S7,16,0,1,39,3989.50409889,16240.6406403,15196.1603165
S7,16,0,1,40,3500.03194809,15669.2476273,14454.7843933
S7,16,0,1,41,5476.35221481,17725.4390717,16771.0723877
S7,16,0,1,42,4414.46399689,16649.2156982,15578.1116486
S7,16,0,1,43,4962.3041153,17288.192749,16410.6235504
S7,16,0,1,44,5489.66407776,17836.0328674,16977.9205322
S7,16,0,1,45,4452.35204697,16671.7433929,15792.1276093
S7,16,0,1,46,5965.8241272,18378.6563873,17160.1924896
S7,16,0,1,47,4795.39203644,16913.4082794,16130.0487518
S7,16,0,1,48,4451.32780075,16548.8643646,15561.7275238
S7,16,0,1,49,4909.02376175,17160.1924896,16215.007782
S7,16,0,2,0,384.000003338,12689.4083023,11447.2961426
S7,16,0,2,1,952.319979668,13058.0482483,11971.5843201
S7,16,0,2,2,2159.6159935,14181.3764572,13099.0076065
S7,16,0,2,3,1303.55203152,13711.3599777,12477.4398804
S7,16,0,2,4,569.343984127,12880.8956146,11668.4799194
S7,16,0,2,5,376.832008362,12598.2723236,11314.1756058
S7,16,0,2,6,521.215975285,12675.0717163,11426.8159866
S7,16,0,2,7,521.215975285,13175.8079529,11912.1923447
S7,16,0,2,8,610.303997993,12883.9683533,11599.8716354
S7,16,0,2,9,550.912022591,12819.4561005,11636.67202
S7,16,0,2,10,160118.789673,172309.509277,171078.659058
S7,16,0,2,11,4045.8240509,16232.4485779,15016.960144
S7,16,0,2,12,846.848011017,13076.4799118,11877.3756027
S7,16,0,2,13,130010.009766,142181.274414,140896.16394
S7,16,0,2,14,1255.42402267,13665.2803421,12465.1517868
S7,16,0,2,15,1153.02395821,13355.0081253,12068.8638687
S7,16,0,2,16,2192.38400459,14633.9836121,13346.8160629
S7,16,0,2,17,804.863989353,13220.864296,11975.6803513
S7,16,0,2,18,806.944012642,13128.704071,12223.487854
S7,16,0,2,19,1240.06402493,13607.9359055,12582.9124451
S7,16,0,2,20,872.448027134,13262.8479004,12026.8802643
S7,16,0,2,21,506.879985332,12881.9198608,11654.1442871
S7,16,0,2,22,839.680016041,13296.6403961,12051.4564514
S7,16,0,2,23,620.544016361,13111.2957001,11868.1602478
S7,16,0,2,24,584.800004959,13392.8003311,12147.6163864
S7,16,0,2,25,555.007994175,13039.6156311,11796.4801788
S7,16,0,2,26,818.175971508,12776.4482498,11682.8155518
S7,16,0,2,27,1096.7040062,13519.8717117,12279.8080444
S7,16,0,2,28,1050.62401295,13373.4397888,12358.6559296
S7,16,0,2,29,1035.2640152,13463.552475,12239.8719788
S7,16,0,2,30,539.647996426,12901.3757706,11668.4799194
S7,16,0,2,31,1200.12795925,13345.7603455,12344.3202972
S7,16,0,2,32,909.312009811,12950.5281448,12053.5039902
S7,16,0,2,33,1789.95203972,13974.5283127,12686.3355637
S7,16,0,2,34,636.928021908,13044.7359085,11789.3123627
S7,16,0,2,35,654.335975647,13428.735733,12183.5517883
S7,16,0,2,36,101686.271667,113896.446228,112610.305786
S7,16,0,2,37,1162.24002838,13724.6723175,12475.3923416
S7,16,0,2,38,509.952008724,13111.2957001,11874.3038177
S7,16,0,2,39,765.951991081,13011.967659,12075.0083923
S7,16,0,2,40,843.775987625,13635.5838776,12386.3039017
S7,16,0,2,41,1719.23196316,13974.4644165,12833.7278366
S7,16,0,2,42,1281.02397919,13532.1598053,12625.9202957
S7,16,0,2,43,635.904014111,13010.9443665,11800.57621
S7,16,0,2,44,838.656008244,13373.4397888,12301.3124466
S7,16,0,2,45,995.328009129,13339.6482468,12152.8320312
S7,16,0,2,46,876.543998718,12969.9840546,11920.384407
S7,16,0,2,47,496.704012156,12950.4957199,11706.3360214
S7,16,0,2,48,772.09597826,12985.3439331,11971.5843201
S7,16,0,2,49,1208.32002163,13374.464035,12500.9918213
S7,16,0,3,0,466.944009066,12966.9122696,11719.6798325
S7,16,0,3,1,726.015985012,13092.8640366,11850.7518768
S7,16,0,3,2,553.983986378,12771.3279724,11637.7601624
S7,16,0,3,3,658.432006836,13114.3684387,11891.7121887
S7,16,0,3,4,877.568006516,13236.2241745,11991.0402298
S7,16,0,3,5,1360.89599133,13541.3761139,12492.7997589
S7,16,0,3,6,2449.40805435,14862.3361588,13775.8722305
S7,16,0,3,7,1522.6880312,13886.464119,12686.3355637
S7,16,0,3,8,1432.57594109,13748.2242584,12594.1762924
S7,16,0,3,9,1354.75194454,13267.9681778,12172.287941
S7,16,0,3,10,1611.7759943,13919.2323685,12731.3919067
S7,16,0,3,11,1591.168046,14003.071785,12833.6639404
S7,16,0,3,12,1204.22399044,13508.6078644,12708.864212
S7,16,0,3,13,1468.41597557,13847.5522995,12604.4158936
S7,16,0,3,14,1249.27997589,13667.3278809,12735.4879379
S7,16,0,3,15,2267.04001427,14468.000412,13271.9678879
S7,16,0,3,16,1910.71999073,14192.5764084,13057.9843521
S7,16,0,3,17,1175.55201054,13673.4724045,12623.8718033
S7,16,0,3,18,1285.12001038,13654.0155411,12762.1116638
S7,16,0,3,19,1286.14401817,13644.8001862,12762.1116638
S7,16,0,3,20,1088.51194382,13434.8802567,12364.8004532
S7,16,0,3,21,1072.12805748,13399.0402222,12361.7277145
S7,16,0,3,22,614.400029182,12973.0558395,11759.6158981
S7,16,0,3,23,760.8320117,13425.6639481,12166.144371
S7,16,0,3,24,475.136011839,13103.1036377,11858.9439392
S7,16,0,3,25,639.999985695,12523.5204697,11517.9519653
S7,16,0,3,26,1087.48805523,13424.6397018,12383.2321167
S7,16,0,3,27,873.471975327,12777.4715424,11857.919693
S7,16,0,3,28,885.760009289,13129.7283173,12023.8075256
S7,16,0,3,29,649.280011654,12932.0955276,11927.5522232
S7,16,0,3,30,717.823982239,13006.8483353,11821.056366
S7,16,0,3,31,838.656008244,13460.4797363,12217.3442841
S7,16,0,3,32,543.744027615,13246.4637756,11995.136261
S7,16,0,3,33,574.464023113,13048.8319397,11797.504425
S7,16,0,3,34,727.999985218,13160.3841782,12119.9998856
S7,16,0,3,35,565.216004848,13283.3280563,12035.0723267
S7,16,0,3,36,572.416007519,13130.7516098,11975.6803513
S7,16,0,3,37,537.599980831,13097.984314,11850.7518768
S7,16,0,3,38,799.744009972,13242.3677444,12044.2876816
S7,16,0,3,39,1471.48799896,13916.1596298,12671.9999313
S7,16,0,3,40,662.52797842,13247.4880219,12000.2555847
S7,16,0,3,41,819.199979305,13275.135994,12029.9520493
S7,16,0,3,42,485.376000404,13214.7197723,11965.4397964
S7,16,0,3,43,976.895987988,12929.0237427,11857.919693
S7,16,0,3,44,896.000027657,13185.0242615,12210.1764679
S7,16,0,3,45,2006.01601601,14025.6643295,12934.1440201
S7,16,0,3,46,820.223987103,12786.687851,11807.7440262
S7,16,0,3,47,740.351974964,12883.9683533,11894.7839737
S7,16,0,3,48,604.160010815,12831.744194,11591.6795731
S7,16,0,3,49,571.391999722,13432.8317642,12186.6235733
S7,16,0,4,0,483.328014612,13091.8397903,11849.7276306
S7,16,0,4,1,6171.64802551,18452.4803162,17180.6716919
S7,16,0,4,2,6551.51987076,19087.3279572,17804.2564392
S7,16,0,4,3,6709.24806595,18896.8963623,17708.032608
S7,16,0,4,4,7481.34422302,19591.16745,18304.0008545
S7,16,0,4,5,5621.75989151,17595.3922272,16818.1762695
S7,16,0,4,6,4305.92012405,16382.976532,15559.679985
S7,16,0,4,7,8233.98399353,20506.6242218,19267.583847
S7,16,0,4,8,4757.50398636,16920.5760956,16116.7354584
S7,16,0,4,9,6088.70410919,18308.095932,17626.1119843
S7,16,0,4,10,5604.35199738,17770.4963684,16982.0156097
S7,16,0,4,11,7436.28787994,19568.6397552,18784.2559814
S7,16,0,4,12,5664.76821899,17801.2161255,16843.7767029
S7,16,0,4,13,4448.25601578,16429.0561676,15731.7123413
S7,16,0,4,14,5940.22417068,18120.7046509,17276.927948
S7,16,0,4,15,8343.55163574,20341.7606354,19275.7759094
S7,16,0,4,16,3734.52806473,15951.8718719,15220.7355499
S7,16,0,4,17,5479.42399979,17517.5685883,16657.4077606
S7,16,0,4,18,6988.80004883,19139.5835876,18520.0634003
S7,16,0,4,19,6368.25609207,18445.3125,17580.0323486
S7,16,0,4,20,5232.63978958,17409.0232849,16377.8553009
S7,16,0,4,21,6616.03212357,18607.0728302,17710.0486755
S7,16,0,4,22,4241.40787125,16198.6560822,15507.4558258
S7,16,0,4,23,4246.46377563,16646.0800171,15634.3679428
S7,16,0,4,24,3756.03199005,15843.328476,14872.5757599
S7,16,0,4,25,4611.07206345,16739.3283844,15551.4879227
S7,16,0,4,26,6947.77584076,19019.7124481,18273.2162476
S7,16,0,4,27,5859.32779312,17930.2406311,17141.7598724
S7,16,0,4,28,4029.43992615,15992.8321838,15380.4798126
S7,16,0,4,29,5858.30402374,17959.936142,17111.0401154
S7,16,0,4,30,4893.6958313,16917.5033569,15933.4402084
S7,16,0,4,31,5615.61584473,17466.3677216,16588.8004303
S7,16,0,4,32,4392.96007156,16307.1994781,15504.3840408
S7,16,0,4,33,4771.84009552,16882.6885223,15862.7843857
S7,16,0,4,34,5338.11187744,17221.6320038,16409.5993042
S7,16,0,4,35,5004.28819656,17027.0729065,16161.7927551
S7,16,0,4,36,4677.63185501,16845.823288,16171.0071564
S7,16,0,4,37,6451.20000839,18865.152359,17777.6641846
S7,16,0,4,38,6770.68805695,19124.2237091,17911.8080139
S7,16,0,4,39,6099.96795654,18184.1926575,17513.4716034
S7,16,0,4,40,4760.57577133,16944.1280365,15975.4238129
