strategy,iteration,rank,q,slice,t_release_us
B0_FULL_SERIAL,0,2,8,0,251.872003078
B0_FULL_SERIAL,0,2,8,1,255.360007286
B0_FULL_SERIAL,0,2,8,2,258.816003799
B0_FULL_SERIAL,0,2,8,3,262.335985899
B0_FULL_SERIAL,0,2,8,4,265.823990107
B0_FULL_SERIAL,0,2,8,5,269.344002008
B0_FULL_SERIAL,0,2,8,6,273.119986057
B0_FULL_SERIAL,0,2,8,7,276.639997959
B0_FULL_SERIAL,1,2,8,0,807.583987713
B0_FULL_SERIAL,1,2,8,1,811.103999615
B0_FULL_SERIAL,1,2,8,2,814.91202116
B0_FULL_SERIAL,1,2,8,3,818.463981152
B0_FULL_SERIAL,1,2,8,4,821.983993053
B0_FULL_SERIAL,1,2,8,5,825.53601265
B0_FULL_SERIAL,1,2,8,6,829.056024551
B0_FULL_SERIAL,1,2,8,7,832.575976849
B0_FULL_SERIAL,2,2,8,0,699.199974537
B0_FULL_SERIAL,2,2,8,1,702.751994133
B0_FULL_SERIAL,2,2,8,2,706.304013729
B0_FULL_SERIAL,2,2,8,3,709.887981415
B0_FULL_SERIAL,2,2,8,4,713.504016399
B0_FULL_SERIAL,2,2,8,5,717.055976391
B0_FULL_SERIAL,2,2,8,6,720.575988293
B0_FULL_SERIAL,2,2,8,7,724.128007889
B0_FULL_SERIAL,3,2,8,0,652.895987034
B0_FULL_SERIAL,3,2,8,1,656.44800663
B0_FULL_SERIAL,3,2,8,2,659.968018532
B0_FULL_SERIAL,3,2,8,3,663.519978523
B0_FULL_SERIAL,3,2,8,4,667.071998119
B0_FULL_SERIAL,3,2,8,5,670.592010021
B0_FULL_SERIAL,3,2,8,6,674.112021923
B0_FULL_SERIAL,3,2,8,7,677.63197422
B0_FULL_SERIAL,4,2,8,0,614.207983017
B0_FULL_SERIAL,4,2,8,1,617.695987225
B0_FULL_SERIAL,4,2,8,2,621.248006821
B0_FULL_SERIAL,4,2,8,3,624.768018723
B0_FULL_SERIAL,4,2,8,4,628.28797102
B0_FULL_SERIAL,4,2,8,5,631.839990616
B0_FULL_SERIAL,4,2,8,6,635.392010212
B0_FULL_SERIAL,4,2,8,7,638.912022114
B0_FULL_SERIAL,5,2,8,0,538.272023201
B0_FULL_SERIAL,5,2,8,1,541.791975498
B0_FULL_SERIAL,5,2,8,2,545.3119874
B0_FULL_SERIAL,5,2,8,3,548.864006996
B0_FULL_SERIAL,5,2,8,4,552.384018898
B0_FULL_SERIAL,5,2,8,5,555.935978889
B0_FULL_SERIAL,5,2,8,6,559.455990791
B0_FULL_SERIAL,5,2,8,7,563.008010387
B0_FULL_SERIAL,6,2,8,0,621.631979942
B0_FULL_SERIAL,6,2,8,1,625.151991844
B0_FULL_SERIAL,6,2,8,2,628.70401144
B0_FULL_SERIAL,6,2,8,3,632.224023342
