case_id,path,family,candidate,M_local,N,K,q,rep,iterations,iteration_failures,status,t_release_first_max_us_p50,t_release_first_max_us_p05,t_release_first_max_us_p95,t_release_last_max_us_p50,t_release_last_max_us_p05,t_release_last_max_us_p95,t_done_max_us_p50,t_done_max_us_p05,t_done_max_us_p95,gemm_first_start_max_us_p50,gemm_first_start_max_us_p05,gemm_first_start_max_us_p95,gemm_last_end_max_us_p50,gemm_last_end_max_us_p05,gemm_last_end_max_us_p95,gemm_interval_max_us_p50,gemm_interval_max_us_p05,gemm_interval_max_us_p95,e2e_max_us_p50,e2e_max_us_p05,e2e_max_us_p95
case001_comm_C0_DEFAULT_N2048_q8_rep1,COMM_ONLY,NCCL,C0_DEFAULT,2048,2048,2048,8,1,40,0,PASS,121.552,120.320,135.616,750.848,745.696,808.160,754.240,749.152,811.616,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,757.600,752.576,815.200
case002_comm_C2_RING_SIMPLE_CH8_N2048_q8_rep1,COMM_ONLY,NCCL,C2_RING_SIMPLE_CH8,2048,2048,2048,8,1,40,0,PASS,141.024,138.912,164.032,912.864,906.048,995.456,916.352,909.504,999.296,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,919.952,912.960,1002.752
case003_gemm_C0_DEFAULT_N2048_q8_rep1,GEMM_ONLY,NCCL,C0_DEFAULT,2048,2048,2048,8,1,40,0,PASS,0.000,0.000,0.000,0.000,0.000,0.000,4055.104,4043.232,4056.736,31.456,31.136,32.480,4051.648,4039.776,4053.216,4020.176,4008.448,4021.664,4058.528,4046.688,4060.192
case004_r0_C0_DEFAULT_N2048_q8_rep1,R0_FULL_SERIAL,NCCL,C0_DEFAULT,2048,2048,2048,8,1,40,0,PASS,463.728,457.824,472.576,463.728,457.824,472.576,467.216,461.152,475.936,472.192,465.952,480.768,4112.432,4104.896,4122.016,3646.112,3641.952,3649.344,4115.888,4108.352,4125.472
case005_rs_C0_DEFAULT_N2048_q8_rep1,RS_SLICE_SERIAL,NCCL,C0_DEFAULT,2048,2048,2048,8,1,40,0,PASS,146.960,132.800,154.496,4414.464,4387.328,4450.112,4417.920,4390.688,4453.664,154.816,140.032,162.304,4919.472,4892.896,4955.744,4766.544,4748.672,4800.288,4922.912,4896.320,4959.200
case006_r1_C0_DEFAULT_N2048_q8_rep1,R1_EVENT_OVERLAP,NCCL,C0_DEFAULT,2048,2048,2048,8,1,40,0,PASS,133.808,125.120,142.176,3472.880,3450.080,3498.944,3476.368,3454.144,3502.400,140.240,131.616,149.088,4452.384,4434.208,4479.584,4316.496,4290.432,4339.360,4455.840,4437.632,4483.040
case007_r1_C2_RING_SIMPLE_CH8_N2048_q8_rep1,R1_EVENT_OVERLAP,NCCL,C2_RING_SIMPLE_CH8,2048,2048,2048,8,1,40,0,PASS,148.560,142.144,168.352,3461.696,3437.920,3482.176,3465.232,3441.344,3485.632,155.456,148.864,175.008,4423.248,4405.632,4440.192,4267.088,4249.600,4288.832,4426.672,4409.088,4443.584
case008_fc_C0_DEFAULT_N2048_q8_rep1,FC_FCOLLECT_ONLY,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,1,40,0,PASS,469.200,458.784,483.456,469.200,458.784,483.456,465.344,454.912,479.680,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,472.624,462.208,487.104
case009_dc_C0_DEFAULT_N2048_q8_rep1,DC_PUSHSIG_ONLY,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,1,40,0,PASS,141.568,128.416,154.080,749.008,705.984,804.160,748.064,703.712,803.136,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,752.448,709.472,807.616
case010_d0_C0_DEFAULT_N2048_q8_rep1,D0_FCOLLECT_SERIAL,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,1,40,0,PASS,462.464,457.632,468.672,462.464,457.632,468.672,465.904,461.344,472.032,470.864,466.368,477.088,4112.288,4105.536,4122.720,3646.752,3642.944,3650.560,4115.712,4108.928,4126.080
case011_ds_C0_DEFAULT_N2048_q8_rep1,DS_PUSHSIG_SERIAL,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,1,40,0,PASS,177.744,160.704,202.944,4450.064,4416.544,4480.992,4447.152,4416.448,4481.408,181.120,164.480,206.304,4951.712,4919.488,4982.656,4777.808,4753.248,4825.376,4969.232,4937.984,5000.640
case012_d1_C0_DEFAULT_N2048_q8_rep1,D1_PUSHSIG_OVERLAP,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,1,40,0,PASS,172.608,156.416,192.672,3956.592,3933.440,3986.720,2895.264,2390.592,3427.552,176.480,162.336,200.384,4456.624,4435.968,4487.872,4308.288,4277.216,4334.848,4475.184,4454.048,4504.544
case013_d1w_C0_DEFAULT_N2048_q8_rep1,D1W_WAITSTREAM_OVERLAP,NVSHMEM,C0_DEFAULT,2048,2048,2048,8,1,40,0,PASS,175.072,167.744,185.824,3448.144,2924.000,4011.552,3443.328,2906.272,4003.648,183.952,174.304,194.016,4502.848,4442.240,4573.792,4324.432,4273.408,4394.976,4521.040,4460.768,4590.880
