candidate,N,q,r1_vs_rs_gain_pct,r1_vs_r0_gain_pct,r0_vs_rs_gain_pct,d1_vs_ds_gain_pct,d1_vs_d0_gain_pct,d0_vs_ds_gain_pct,r1_vs_d1_gain_pct,d1_vs_dc_done_stretch_pct,gemm_only_vs_r0_gemm_pct
C0_DEFAULT,2048,8,9.488,-8.260,16.393,9.942,-8.734,17.176,0.432,287.034,
C2_RING_SIMPLE_CH8,2048,8,,,,,,,,,
