candidate,N,q,isolated_winner_path,isolated_runner_up,isolated_gap_pct,e2e_winner_path,e2e_runner_up,e2e_gap_pct,isolated_winner_family,e2e_winner_family,isolated_best_us,e2e_best_us,reversal_flag,notes
C0_DEFAULT,2048,8,FC_FCOLLECT_ONLY,DC_PUSHSIG_ONLY,37.794,D0_FCOLLECT_SERIAL,R0_FULL_SERIAL,0.004,DUSHMEM,DUSHMEM,465.344,4115.712,CONSISTENT,
C2_RING_SIMPLE_CH8,2048,8,COMM_ONLY,,,R1_EVENT_OVERLAP,,,RCCL,RCCL,916.352,4426.672,CONSISTENT,
