strategy,iteration,rank,q,slice,t_release_us
B0_FULL_SERIAL,0,3,4,0,253.984004259
B0_FULL_SERIAL,0,3,4,1,257.503986359
B0_FULL_SERIAL,0,3,4,2,261.02399826
B0_FULL_SERIAL,0,3,4,3,264.575988054
B0_FULL_SERIAL,1,3,4,0,294.144004583
B0_FULL_SERIAL,1,3,4,1,297.951996326
B0_FULL_SERIAL,1,3,4,2,301.472008228
B0_FULL_SERIAL,1,3,4,3,305.023998022
B0_FULL_SERIAL,2,3,4,0,293.184012175
B0_FULL_SERIAL,2,3,4,1,297.055989504
B0_FULL_SERIAL,2,3,4,2,300.576001406
B0_FULL_SERIAL,2,3,4,3,304.096013308
B0_FULL_SERIAL,3,3,4,0,280.831992626
B0_FULL_SERIAL,3,3,4,1,284.384012222
B0_FULL_SERIAL,3,3,4,2,287.903994322
B0_FULL_SERIAL,3,3,4,3,291.424006224
B0_FULL_SERIAL,4,3,4,0,279.168009758
B0_FULL_SERIAL,4,3,4,1,282.687991858
B0_FULL_SERIAL,4,3,4,2,286.208003759
B0_FULL_SERIAL,4,3,4,3,289.727985859
B0_FULL_SERIAL,5,3,4,0,384.927988052
B0_FULL_SERIAL,5,3,4,1,388.447999954
B0_FULL_SERIAL,5,3,4,2,392.192006111
B0_FULL_SERIAL,5,3,4,3,395.743995905
B0_FULL_SERIAL,6,3,4,0,273.919999599
B0_FULL_SERIAL,6,3,4,1,277.440011501
B0_FULL_SERIAL,6,3,4,2,281.311988831
B0_FULL_SERIAL,6,3,4,3,284.832000732
B0_FULL_SERIAL,7,3,4,0,343.64798665
B0_FULL_SERIAL,7,3,4,1,347.167998552
B0_FULL_SERIAL,7,3,4,2,350.688010454
B0_FULL_SERIAL,7,3,4,3,354.207992554
B0_FULL_SERIAL,8,3,4,0,277.727991343
B0_FULL_SERIAL,8,3,4,1,281.21599555
B0_FULL_SERIAL,8,3,4,2,284.895986319
B0_FULL_SERIAL,8,3,4,3,288.32000494
B0_FULL_SERIAL,9,3,4,0,279.615998268
B0_FULL_SERIAL,9,3,4,1,283.104002476
B0_FULL_SERIAL,9,3,4,2,286.624014378
B0_FULL_SERIAL,9,3,4,3,290.527999401
B0_FULL_SERIAL,10,3,4,0,388.608008623
B0_FULL_SERIAL,10,3,4,1,392.031997442
B0_FULL_SERIAL,10,3,4,2,395.552009344
B0_FULL_SERIAL,10,3,4,3,399.040013552
B0_FULL_SERIAL,11,3,4,0,283.807992935
B0_FULL_SERIAL,11,3,4,1,287.328004837
B0_FULL_SERIAL,11,3,4,2,290.847986937
B0_FULL_SERIAL,11,3,4,3,294.367998838
B0_FULL_SERIAL,12,3,4,0,358.20800066
B0_FULL_SERIAL,12,3,4,1,361.696004868
B0_FULL_SERIAL,12,3,4,2,365.215986967
B0_FULL_SERIAL,12,3,4,3,368.735998869
B0_FULL_SERIAL,13,3,4,0,350.495994091
B0_FULL_SERIAL,13,3,4,1,354.016005993
B0_FULL_SERIAL,13,3,4,2,357.535988092
B0_FULL_SERIAL,13,3,4,3,361.088007689
B0_FULL_SERIAL,14,3,4,0,277.312010527
B0_FULL_SERIAL,14,3,4,1,280.831992626
B0_FULL_SERIAL,14,3,4,2,284.352004528
B0_FULL_SERIAL,14,3,4,3,287.871986628
B0_FULL_SERIAL,15,3,4,0,336.703985929
B0_FULL_SERIAL,15,3,4,1,340.28801322
B0_FULL_SERIAL,15,3,4,2,343.840003014
B0_FULL_SERIAL,15,3,4,3,347.328007221
B0_FULL_SERIAL,16,3,4,0,339.168012142
B0_FULL_SERIAL,16,3,4,1,342.687994242
B0_FULL_SERIAL,16,3,4,2,346.208006144
B0_FULL_SERIAL,16,3,4,3,349.855989218
B0_FULL_SERIAL,17,3,4,0,348.767995834
B0_FULL_SERIAL,17,3,4,1,352.288007736
B0_FULL_SERIAL,17,3,4,2,355.872005224
B0_FULL_SERIAL,17,3,4,3,359.423995018
B0_FULL_SERIAL,18,3,4,0,320.383995771
B0_FULL_SERIAL,18,3,4,1,323.904007673
B0_FULL_SERIAL,18,3,4,2,327.423989773
B0_FULL_SERIAL,18,3,4,3,330.91199398
B0_FULL_SERIAL,19,3,4,0,388.224005699
B0_FULL_SERIAL,19,3,4,1,391.743987799
B0_FULL_SERIAL,19,3,4,2,395.263999701
B0_FULL_SERIAL,19,3,4,3,398.784011602
B0_FULL_SERIAL,20,3,4,0,276.928007603
B0_FULL_SERIAL,20,3,4,1,280.447989702
B0_FULL_SERIAL,20,3,4,2,284.000009298
B0_FULL_SERIAL,20,3,4,3,287.519991398
B0_FULL_SERIAL,21,3,4,0,377.472013235
B0_FULL_SERIAL,21,3,4,1,381.184011698
B0_FULL_SERIAL,21,3,4,2,384.703993797
B0_FULL_SERIAL,21,3,4,3,388.224005699
B0_FULL_SERIAL,22,3,4,0,271.263986826
B0_FULL_SERIAL,22,3,4,1,274.783998728
B0_FULL_SERIAL,22,3,4,2,278.239995241
B0_FULL_SERIAL,22,3,4,3,281.727999449
B0_FULL_SERIAL,23,3,4,0,339.487999678
B0_FULL_SERIAL,23,3,4,1,343.039989471
B0_FULL_SERIAL,23,3,4,2,346.751987934
B0_FULL_SERIAL,23,3,4,3,350.271999836
B0_FULL_SERIAL,24,3,4,0,377.184003592
B0_FULL_SERIAL,24,3,4,1,380.703985691
B0_FULL_SERIAL,24,3,4,2,384.256005287
B0_FULL_SERIAL,24,3,4,3,387.775987387
B0_FULL_SERIAL,25,3,4,0,396.160006523
B0_FULL_SERIAL,25,3,4,1,399.583995342
B0_FULL_SERIAL,25,3,4,2,403.07199955
B0_FULL_SERIAL,25,3,4,3,406.623989344
B0_FULL_SERIAL,26,3,4,0,282.303988934
B0_FULL_SERIAL,26,3,4,1,285.759985447
B0_FULL_SERIAL,26,3,4,2,289.216011763
B0_FULL_SERIAL,26,3,4,3,292.735993862
B0_FULL_SERIAL,27,3,4,0,348.127990961
B0_FULL_SERIAL,27,3,4,1,351.936012506
B0_FULL_SERIAL,27,3,4,2,355.455994606
B0_FULL_SERIAL,27,3,4,3,358.976006508
B0_FULL_SERIAL,28,3,4,0,353.37600112
B0_FULL_SERIAL,28,3,4,1,356.831997633
B0_FULL_SERIAL,28,3,4,2,360.352009535
B0_FULL_SERIAL,28,3,4,3,363.871991634
B0_FULL_SERIAL,29,3,4,0,271.232008934
B0_FULL_SERIAL,29,3,4,1,274.751991034
B0_FULL_SERIAL,29,3,4,2,278.272002935
B0_FULL_SERIAL,29,3,4,3,281.792014837
B0_FULL_SERIAL,30,3,4,0,340.575993061
B0_FULL_SERIAL,30,3,4,1,344.096004963
B0_FULL_SERIAL,30,3,4,2,347.647994757
B0_FULL_SERIAL,30,3,4,3,351.168006659
B0_FULL_SERIAL,31,3,4,0,374.336004257
B0_FULL_SERIAL,31,3,4,1,378.304004669
B0_FULL_SERIAL,31,3,4,2,381.823986769
B0_FULL_SERIAL,31,3,4,3,385.343998671
B0_FULL_SERIAL,32,3,4,0,284.736007452
B0_FULL_SERIAL,32,3,4,1,288.255989552
B0_FULL_SERIAL,32,3,4,2,291.776001453
B0_FULL_SERIAL,32,3,4,3,295.296013355
B0_FULL_SERIAL,33,3,4,0,341.215997934
B0_FULL_SERIAL,33,3,4,1,344.767987728
B0_FULL_SERIAL,33,3,4,2,348.28799963
B0_FULL_SERIAL,33,3,4,3,351.808011532
B0_FULL_SERIAL,34,3,4,0,375.77599287
B0_FULL_SERIAL,34,3,4,1,379.328012466
B0_FULL_SERIAL,34,3,4,2,382.88000226
B0_FULL_SERIAL,34,3,4,3,386.687994003
B0_FULL_SERIAL,35,3,4,0,281.248003244
B0_FULL_SERIAL,35,3,4,1,284.832000732
B0_FULL_SERIAL,35,3,4,2,288.352012634
B0_FULL_SERIAL,35,3,4,3,291.904002428
B0_FULL_SERIAL,36,3,4,0,366.943985224
B0_FULL_SERIAL,36,3,4,1,370.911985636
B0_FULL_SERIAL,36,3,4,2,374.816000462
B0_FULL_SERIAL,36,3,4,3,378.751993179
B0_FULL_SERIAL,37,3,4,0,353.37600112
B0_FULL_SERIAL,37,3,4,1,357.376009226
B0_FULL_SERIAL,37,3,4,2,361.344009638
B0_FULL_SERIAL,37,3,4,3,365.31201005
